202692-Armanda Amorim-3399.34
266626-Basilio Pedroso-16318.71
539390-Angilica Galante-7089.91
505789-Trajano Fagundes-9216.39
621989-Quintino Alcantara-18615.73
26841-Fulvio Villegas-19489.04
580395-Cleusa Goes-11428.58
821901-Zulmira Becerra-20254.55
257970-Guida Juca-20537.21
126781-Delfina Perdigon-12713.36
832454-Quintiliano Sousa de Arronches-20305.39
910867-Regina Barcellos-7593.22
77583-Gaudancio Fiees-10438.61
417242-Delfina Garcia de Gondim-10318.83
956887-Henrique Bento-16715.05
413017-Judite Damasceno-4850.48
377414-Almerinda Palmeira-7486.29
370038-Zulmira Becerra-20834.51
117836-Delfim Higuera-6282.25
584436-Jonatas Felgueiras-1698.68
128417-Quintiliano Sousa de Arronches-2747.00
606847-Daniel Vieyra-8776.11
472479-Augusta Paio-6512.05
329477-Taercio Mafra-17856.22
825205-Artur Grillo-6820.96
410655-Oliveira Senchez-15035.09
416709-Edgar Carvalheiro-19158.86
797463-Feledcia Peassego-14267.73
149814-Odilia Camello-11274.07
223041-Silvio Mata-5625.08
664849-Judite Damasceno-15966.36
645226-Tabalipa Duarte-2747.59
947151-Antonio Viegas-3762.32
626366-Celeste Duarte-4625.61
705012-Cleusa Goes-14553.86
288726-Trajano Fagundes-9213.13
437054-Delfina Garcia de Gondim-8092.46
697686-Jorgina Bogalho-1145.60
441579-Augusta Paio-8627.10
410353-Camila Gabeira-8124.49
763491-Silvio Mata-12351.14
300745-Andreia Moita-20137.60
965686-Honorina Lira-17602.23
835896-Oliveira Carmona-15183.66
328617-Judite Damasceno-1725.87
949794-Telma Villalobos-15418.76
563387-Tabalipa Duarte-18163.13
95867-Jorgina Bogalho-17445.27
917272-Regina Barcellos-12624.85
145440-Adelina Quadros-9984.12
881158-Celeste Duarte-11221.75
769196-Neuza Francia-19084.76
416401-Carminda Morais-20874.41
295252-Ermelinda Quintela-1627.94
251578-Carminda Morais-676.39
594232-Rebeca Neto-3365.88
250223-Taercio Mafra-3256.68
668963-Gaudancio Fiees-19507.64
647916-Quintino Alcantara-1961.98
853248-Mercia Caeira-4843.43
508000-Urbano Rodrigues-12302.24
277021-Clara Alcantara-18829.94
321889-Emiliana Foquio-5699.26
106109-Filomena Barrios-19622.21
772398-Carminda Morais-799.89
25769-Tibofarcio Camacho-6735.84
671300-Jorgina Bogalho-3693.50
629694-Sara Lameiras-21240.19
631341-Sofras Cuaresma-17571.83
634171-Delfim Higuera-1315.53
564891-Delfim Higuera-2070.61
670639-Oliveira Senchez-10713.38
252161-Polibe Olivares-4431.76
307847-Quintiliano Sousa de Arronches-827.99
157241-Lina Andrade-15085.71
645312-Clarindo Areosa-5981.13
721855-Manuel Capiperibe-10407.85
466609-Augusta Paio-3579.31
491792-Ermelinda Quintela-2940.78
714677-Angelica Aranha-21117.12
280704-Polibe Olivares-3667.94
587383-Moaci Mendoa-4764.64
403910-Henrique Bento-542.33
146686-Flamednia Leiria-11875.41
627315-Emiliana Foquio-18916.98
97375-Zulmira Becerra-868.60
667450-Antonio Castelo-4045.82
71412-Nuno Balsemeo-10230.48
527280-Clara Alcantara-17455.40
166617-Ximena Castilho-6207.71
359023-Basilio Pedroso-2805.68
128851-Celeste Duarte-19551.55
236770-Eurico Siqueira-10850.76
521020-Andreia Moita-3877.39
604064-Melinda Roserio-18253.66
774650-Emedlia Silvera-11829.80
58549-Armindo Castalo-12816.47
643412-Heleedsa Marins-3432.35
158934-Delfina Garcia de Gondim-4917.62
752808-Sofras Cuaresma-13369.29
575557-Ximena Castilho-8628.04
192073-Fulvio Villegas-14239.33
272995-Judite Damasceno-19441.70
103187-Henrique Bento-7192.07
474144-Armanda Amorim-21268.11
59460-Henrique Bento-12331.02
988095-Telma Villalobos-7836.77
14609-Filomena Barrios-18193.21
605610-Oliveira Senchez-4029.96
736538-Polibe Olivares-11237.49
154775-Adelino Barra-17983.24
141025-Domingos Pas-6460.33
282670-Delfina Garcia de Gondim-2908.22
532676-Guaraci Damasceno-7869.25
5026-Romo Paranage-11743.99
359739-Cassandra Varejo-11974.59
210541-Angelica Aranha-9429.63
708531-Letedcia Gago-8154.94
957825-Feledcia Peassego-18381.00
969352-Silvio Mata-14613.53
909729-Tabalipa Duarte-3060.24
170682-Marilda Leio-8001.65
364712-Silvio Mata-6039.64
761293-Ubaldo Mainha-8024.97
848740-Adelino Barra-17835.02
780175-Basilio Pedroso-10773.78
813895-Domingos Pas-20145.88
41153-Jorgina Bogalho-15818.13
589010-Esperada Cardoso-1222.87
649104-Armindo Castalo-2752.57
457890-Melinda Roserio-12301.66
107278-Eurico Siqueira-17023.37
789341-Telma Villalobos-9682.18
809779-Micaela Chavez-9719.79
755427-Camila Gabeira-2853.45
100428-Antonio Viegas-10351.25
420596-Ubaldo Mainha-1594.55
704026-Marilda Leio-5894.96
998031-Jonatas Felgueiras-19970.85
391869-Almerinda Palmeira-4902.51
171135-Delfina Perdigon-14877.08
457899-Spnia ou Sonia Guerreiro-3453.32
425892-Lurdes Cotrim-20041.21
357782-Polibe Olivares-3124.48
786247-Emedlia Silvera-3522.03
749017-Camila Gabeira-11503.03
573127-Guaraci Damasceno-17567.24
18174-Domingos Pas-9669.44
792689-Polibe Olivares-17439.42
338146-Quintiliano Sousa de Arronches-16308.51
656600-Branco Saraba-20890.22
141430-Silvio Mata-12769.96
479669-Heleedsa Marins-21424.22
36030-Tibefarcio Colao-9942.96
88158-Armindo Castalo-7825.99
484793-Antonio Castelo-11433.48
522463-Leonidas Mafra-10064.37
498711-Dulce Froes-2389.72
487393-Spnia ou Sonia Guerreiro-4227.64
77521-Micaela Chavez-16801.03
918199-Quintino Alcantara-21387.59
983668-Flamednia Leiria-8814.17
381206-Zungela Ipiranga-17578.96
900156-Esperada Cardoso-14414.49
383000-Quintiliano Sousa de Arronches-9040.53
585165-Sofras Cuaresma-4310.55
574377-Cassandra Varejo-10575.77
320287-Romo Paranage-7955.92
10570-Silvio Mata-2345.96
643257-Sara Lameiras-13716.73
159275-Elisa Themes-4021.08
697053-Micaela Chavez-9610.92
747196-Moaci Mendoa-12464.73
735596-Ximena Castilho-11148.89
536386-Telma Villalobos-8787.89
935815-Quintiliano Sousa de Arronches-8903.74
682900-Delfim Higuera-1524.65
383473-Tibefarcio Colao-4217.85
55707-Henrique Bento-5177.95
492293-Romo Paranage-369.55
547729-Armindo Castalo-6101.14
878614-Armanda Amorim-313.28
142732-Nuno Balsemeo-17250.75
303398-Sara Lameiras-13913.27
429348-Adelino Barra-243.80
608738-Edgar Carvalheiro-5543.15
842715-Tibefarcio Colao-19769.98
170094-Estanislau Beserra-10038.98
605938-Anind Zarco-214.70
121289-Emiliana Foquio-15999.62
826371-Emedlio Pimentel-9770.27
155737-Flamednia Leiria-2914.22
60349-Zulmira Becerra-4245.64
470471-Henrique Bento-9868.68
769907-Eurico Siqueira-12722.97
858008-Ximena Castilho-374.22
319940-Jussara Varanda-20082.65
762784-Silvio Mata-17999.51
990475-Quintiliano Sousa de Arronches-2080.74
13583-Armindo Castalo-17621.95
991717-Quintino Alcantara-13915.38
600505-Anfnia Seixas-16456.93
20648-Daniel Vieyra-13382.70
548399-Spnia ou Sonia Guerreiro-17157.40
403001-Heleedsa Marins-17455.10
637193-Heleedsa Marins-1588.85
186790-Branco Saraba-21412.05
251046-Regina Barcellos-14024.84
729784-Sofras Cuaresma-5119.91
162361-Delfim Higuera-21350.04
73774-Flor Portella-20135.12
528104-Zungela Ipiranga-7576.29
403966-Almor Caiado-5461.66
844091-Domingos Pas-9567.15
668230-Micaela Chavez-12331.18
789379-Angilica Galante-13997.55
332628-Filomena Barrios-20109.42
657046-Armanda Amorim-7487.09
449078-Leonidas Mafra-7644.39
831015-Esperada Cardoso-20796.01
891442-Tabalipa Duarte-19991.91
522138-Flor Portella-15002.36
846137-Joaquim Rufino-8741.56
956492-Angilica Galante-5455.16
323675-Augusta Paio-15011.85
717592-Melinda Roserio-7184.90
479899-Jussara Varanda-3823.39
479593-Fulvio Villegas-3535.13
963106-Mercia Caeira-2844.78
953616-Almerinda Palmeira-3833.09
948354-Melinda Roserio-2647.17
971743-Dulce Froes-13202.39
140639-Mercia Caeira-9006.02
475691-Ubaldo Mainha-3440.74
41650-Aludsio Sosa-13663.98
725165-Trajano Fagundes-14181.16
679781-Manuel Capiperibe-6581.12
575936-Delfina Perdigon-12275.92
697381-Quintino Alcantara-2340.71
773900-Telma Villalobos-3370.25
451503-Urbano Rodrigues-15239.73
836667-Tibefarcio Colao-15134.61
973850-Danilo Olaio-10631.18
783370-Andreia Moita-7191.10
592965-Antonio Viegas-14381.52
619921-Jonatas Felgueiras-1583.93
620914-Andreia Moita-4270.73
477628-Ubaldo Mainha-21076.49
847109-Flor Portella-16538.63
694787-Lina Andrade-19776.37
851677-Rebeca Neto-8636.05
241925-Fulvio Villegas-3109.58
871318-Henrique Bento-18199.31
102344-Henrique Bento-19697.15
924201-Guida Juca-13058.24
144212-Augusta Paio-13294.44
996320-Antonio Castelo-6115.81
960425-Urbano Rodrigues-16820.59
32472-Artur Grillo-5994.22
175568-Regina Barcellos-19431.17
343329-Judite Damasceno-18014.85
460-Ubaldo Mainha-4392.43
118706-Esperada Cardoso-13241.15
871408-Joaquim Rufino-10617.33
250611-Domingos Pas-21436.58
781611-Romo Paranage-16413.18
705927-Heleedsa Marins-9728.31
703338-Urbano Rodrigues-7963.08
866134-Joaquim Rufino-1918.57
408048-Guida Juca-15410.32
102981-Oliveira Carmona-8858.92
918787-Daniel Vieyra-18978.92
175782-Gaudancio Fiees-17955.27
880520-Antonio Castelo-16419.15
332724-Domingos Pas-86.82
92655-Armindo Castalo-4814.64
329289-Neuza Francia-10711.70
147190-Guida Juca-573.89
23986-Jorgina Bogalho-16952.55
839491-Quintino Alcantara-11961.80
288491-Edgar Carvalheiro-5377.99
222665-Zulmira Becerra-5837.18
916642-Clarindo Areosa-16448.94
725388-Anind Zarco-12462.91
783952-Aludsio Sosa-13576.23
16534-Antonio Castelo-11372.32
83700-Gaudancio Fiees-19145.62
981768-Odete Vasques-62.25
187517-Romo Paranage-13892.49
766122-Taercio Mafra-2206.05
376800-Spnia ou Sonia Guerreiro-5908.93
395584-Mercia Caeira-66.32
306582-Rodolfo Paz-10545.49
777557-Neuza Francia-7637.91
163565-Delfim Higuera-1960.91
231569-Fulvio Villegas-14951.08
763181-Joaquim Rufino-20071.91
980679-Henrique Bento-5576.89
587402-Emedlia Silvera-903.93
965836-Manuel Capiperibe-7971.59
524031-Elisa Themes-20715.36
397670-Nuno Balsemeo-5044.48
989190-Heleedsa Marins-1412.71
474371-Cassandra Varejo-6300.49
766439-Flor Portella-14652.12
198118-Almerinda Palmeira-5079.60
862063-Armanda Amorim-3872.40
603916-Filomena Barrios-267.37
87218-Telma Villalobos-16313.24
303253-Liana Cardim-4538.06
640568-Rodolfo Paz-19853.30
387653-Silvio Mata-3212.44
250823-Danilo Olaio-3402.34
179424-Polibe Olivares-15397.08
898845-Estanislau Beserra-8709.91
709389-Clarindo Areosa-18391.89
143943-Trajano Fagundes-12865.67
769855-Feledcia Peassego-11276.88
601597-Tibefarcio Colao-13687.75
826687-Sara Lameiras-12515.94
727599-Andreia Moita-9967.51
164780-Ximena Castilho-11951.39
566518-Regina Barcellos-18533.90
239397-Silvio Mata-18785.69
960973-Dulce Froes-20344.68
894812-Guaraci Damasceno-3696.94
305187-Delfim Higuera-5268.38
955280-Danilo Olaio-2181.24
858474-Flor Portella-12.42
85818-Basilio Pedroso-21140.69
119501-Liana Cardim-9113.12
999906-Aludsio Sosa-6119.94
124703-Daniel Vieyra-17205.60
483083-Nuno Balsemeo-833.16
65769-Lina Andrade-6252.77
155553-Estanislau Beserra-5166.88
434200-Lurdes Cotrim-2655.10
796479-Telma Villalobos-2589.81
846306-Neuza Francia-5238.40
187250-Silvio Mata-5439.25
638918-Jussara Varanda-7730.45
841878-Aludsio Sosa-10490.45
700134-Cleusa Goes-16931.70
948159-Eurico Siqueira-8981.69
798081-Domingos Pas-2037.51
116041-Sara Lameiras-4809.07
644132-Delfina Garcia de Gondim-14213.41
493593-Judite Damasceno-166.54
983335-Jorgina Bogalho-16895.00
714956-Odete Vasques-13662.04
31494-Feledcia Peassego-2983.59
660550-Moaci Mendoa-16302.01
799606-Gaudancio Fiees-1144.17
498830-Anfnia Seixas-18993.65
30323-Taercio Mafra-2736.80
322353-Sidfnio Frois-15667.96
818788-Clarindo Areosa-18534.40
824817-Trajano Fagundes-16604.50
328423-Celeste Duarte-12059.50
155376-Honorina Lira-4911.81
424199-Adelina Quadros-16302.12
738041-Rebeca Neto-12393.89
96807-Trajano Fagundes-20781.89
657905-Moaci Mendoa-15722.04
