241157-Celeste Duarte-9747.65
435228-Clarindo Areosa-4756.43
549904-Elisa Themes-8925.99
914409-Camila Gabeira-18262.42
743496-Odete Vasques-1421.36
614860-Zungela Ipiranga-10147.60
329011-Dulce Froes-1185.68
626638-Anind Zarco-16626.02
104713-Adelina Quadros-3971.17
626419-Cassandra Varejo-17066.77
636548-Andreia Moita-20139.18
468169-Adelino Barra-17578.70
308544-Guaraci Damasceno-20134.20
769577-Neuza Francia-15868.51
433048-Clara Alcantara-1291.10
105319-Guida Juca-9667.25
126070-Oliveira Carmona-6555.71
470653-Delfina Garcia de Gondim-7501.97
367861-Filomena Barrios-8833.02
549113-Tibofarcio Camacho-2124.45
208433-Urbano Rodrigues-9160.81
632838-Romo Paranage-6570.66
216992-Odilia Bello-88.91
400139-Odete Vasques-18656.60
857659-Camila Gabeira-10716.10
935081-Quintiliano Sousa de Arronches-6422.31
772430-Guaraci Damasceno-1688.74
693756-Anind Zarco-7633.44
217484-Delfina Perdigon-1652.29
374579-Clara Alcantara-4887.78
208770-Melinda Roserio-11109.86
993918-Rebeca Neto-8591.35
648900-Esperada Cardoso-2088.69
239972-Delfim Higuera-527.85
197895-Melinda Roserio-696.43
266165-Odilia Bello-4015.78
59642-Jussara Varanda-20633.50
940042-Estanislau Beserra-8785.60
17650-Emedlio Pimentel-6572.94
397179-Guaraci Damasceno-17966.69
737754-Flor Portella-17083.94
159570-Rebeca Neto-2589.04
647149-Leonidas Mafra-13535.53
25387-Delfina Garcia de Gondim-5633.10
96567-Letedcia Gago-16225.07
261031-Neuza Francia-3652.90
173156-Lurdes Cotrim-20533.49
959011-Manuel Capiperibe-8998.06
605602-Guida Juca-19498.24
964438-Melinda Roserio-17917.37
617338-Almor Caiado-6379.91
256382-Lina Andrade-15521.51
547113-Branco Saraba-8963.14
190171-Honorina Lira-8268.56
134751-Rodolfo Paz-10619.53
722160-Polibe Olivares-5257.30
887481-Micaela Chavez-20079.03
919494-Ximena Castilho-13823.79
511957-Domingos Pas-15599.84
398705-Ubaldo Mainha-5584.65
987021-Artur Grillo-10140.82
969324-Jussara Varanda-18903.38
855884-Fulvio Villegas-18988.86
811954-Delfim Higuera-12485.92
593857-Clarindo Areosa-21397.27
883138-Almor Caiado-3469.66
462314-Tibofarcio Camacho-5668.53
907380-Filomena Barrios-5677.72
674729-Ubaldo Mainha-12282.84
265659-Spnia ou Sonia Guerreiro-10582.00
110055-Basilio Pedroso-18541.87
462021-Regina Barcellos-10296.72
964777-Jonatas Felgueiras-9910.44
298174-Jonatas Felgueiras-9443.73
487601-Angelica Aranha-14529.67
145977-Branco Saraba-19918.50
534332-Anfnia Seixas-7788.28
825824-Urbano Rodrigues-20147.36
528518-Tibofarcio Camacho-1569.27
215314-Tibefarcio Colao-14501.92
883353-Moaci Mendoa-12438.19
117269-Basilio Pedroso-1757.97
722501-Honorina Lira-19457.62
729810-Flor Portella-10075.77
329366-Flamednia Leiria-3355.81
172272-Edgar Carvalheiro-9917.27
497042-Spnia ou Sonia Guerreiro-13542.61
158451-Clarindo Areosa-12836.03
108699-Spnia ou Sonia Guerreiro-146.48
859743-Antonio Castelo-12548.63
810287-Taercio Mafra-12677.47
463705-Zungela Ipiranga-10673.80
789321-Edgar Carvalheiro-3966.19
675725-Eurico Siqueira-11543.49
934869-Judite Damasceno-2941.95
676964-Tibefarcio Colao-21033.67
785148-Augusta Paio-4863.80
721736-Manuel Capiperibe-3050.55
910459-Regina Barcellos-21271.64
26046-Marilda Leio-7385.40
