427170-Estanislau Beserra-1131.92
737207-Telma Villalobos-12229.34
877815-Almerinda Palmeira-5682.78
910731-Nuno Balsemeo-10299.05
69037-Sofras Cuaresma-2155.63
623753-Estanislau Beserra-17505.21
174867-Romo Paranage-7430.10
111928-Flamednia Leiria-6687.00
333365-Jorgina Bogalho-17475.48
467029-Quintiliano Sousa de Arronches-9928.47
435699-Angelica Aranha-7187.90
132938-Andreia Moita-11825.28
911481-Armindo Castalo-20574.05
508135-Neeamia Arruda-19818.32
325105-Anind Zarco-17804.18
534542-Esperada Cardoso-15475.58
551981-Branco Saraba-15242.49
373515-Tabalipa Duarte-9828.78
650058-Quintino Alcantara-11332.11
568111-Jussara Varanda-5881.94
978241-Judite Damasceno-14096.30
63847-Armanda Amorim-13142.79
600204-Sofras Cuaresma-5107.07
414217-Filomena Barrios-9342.15
649339-Spnia ou Sonia Guerreiro-19285.40
447199-Silvio Mata-7015.91
765937-Letedcia Gago-17571.43
610907-Jussara Varanda-5620.33
156195-Odete Vasques-15466.83
765773-Basilio Pedroso-12407.68
738580-Armanda Amorim-15787.46
501786-Zungela Ipiranga-5263.26
792598-Mercia Caeira-14539.26
5184-Nuno Balsemeo-6348.57
82978-Domingos Pas-12465.06
578665-Edgar Carvalheiro-13569.53
148704-Mercia Caeira-5692.36
967961-Neeamia Arruda-17738.46
181068-Quintiliano Sousa de Arronches-13445.19
121391-Adelino Barra-10288.01
255959-Micaela Chavez-18195.40
20472-Quintiliano Sousa de Arronches-1405.58
580571-Flor Portella-14693.50
847739-Delfina Perdigon-14208.72
846461-Jorgina Bogalho-19769.55
901844-Delfina Garcia de Gondim-6230.50
548428-Feledcia Peassego-10541.99
854548-Armanda Amorim-4996.83
193717-Dulce Froes-20898.64
215995-Cleusa Goes-5155.02
38548-Heleedsa Marins-6597.58
606913-Lina Andrade-17847.78
501290-Clara Alcantara-9098.75
838235-Neuza Francia-6932.39
31964-Flor Portella-20690.86
248170-Esperada Cardoso-5235.04
934050-Sara Lameiras-10530.52
855543-Filomena Barrios-11199.07
623556-Celeste Duarte-12861.01
426987-Flamednia Leiria-9508.33
547963-Odilia Camello-13548.72
725064-Delfim Higuera-19294.79
943725-Jorgina Bogalho-10534.96
545599-Neeamia Arruda-1808.51
19520-Zungela Ipiranga-20938.83
448464-Daniel Vieyra-15966.47
960154-Delfina Garcia de Gondim-460.98
154238-Domingos Pas-1589.53
547732-Zulmira Becerra-15615.77
321705-Micaela Chavez-13035.20
597548-Delfina Garcia de Gondim-4135.84
147574-Letedcia Gago-7113.09
475901-Delfina Garcia de Gondim-1897.69
679454-Emiliana Foquio-3183.15
638676-Jonatas Felgueiras-3703.35
200027-Adelino Barra-1752.99
781705-Urbano Rodrigues-3562.60
899433-Emiliana Foquio-19674.14
956815-Delfina Perdigon-12134.78
598514-Augusta Paio-1843.16
105931-Melinda Roserio-15429.14
484912-Domingos Pas-16540.61
342369-Celeste Duarte-1550.53
728649-Armanda Amorim-1032.49
449283-Clara Alcantara-444.04
568939-Heleedsa Marins-20476.04
852140-Dulce Froes-1939.02
232936-Almerinda Palmeira-19788.02
83223-Leonidas Mafra-20797.58
510204-Camila Gabeira-17828.73
457219-Delfim Higuera-20389.79
504935-Manuel Capiperibe-20554.64
862066-Zungela Ipiranga-16143.23
988687-Filomena Barrios-17690.52
430399-Armindo Castalo-5530.17
723074-Marilda Leio-601.03
798823-Carminda Morais-18869.55
650506-Liana Cardim-17847.04
916009-Augusta Paio-20597.87
692119-Ermelinda Quintela-21262.97
