361990-Emiliana Foquio-13774.24
177346-Feledcia Peassego-1687.76
304067-Sofras Cuaresma-6211.12
526830-Nuno Balsemeo-8927.51
365785-Basilio Pedroso-17457.50
476286-Liana Cardim-11923.39
517115-Neeamia Arruda-2473.91
380392-Estanislau Beserra-17743.27
681068-Jonatas Felgueiras-5196.26
901283-Joaquim Rufino-21370.46
292846-Edgar Carvalheiro-18789.25
684632-Eurico Siqueira-3696.19
571073-Marilda Leio-11759.23
86410-Regina Barcellos-10439.66
366181-Marilda Leio-17543.32
610549-Neuza Francia-5073.24
900460-Romo Paranage-4023.58
983029-Silvio Mata-7507.38
520768-Emedlia Silvera-12714.19
796125-Andreia Moita-16223.20
917229-Camila Gabeira-10401.30
462461-Polibe Olivares-15948.14
300454-Judite Damasceno-11969.02
250969-Lurdes Cotrim-13809.88
952449-Angelica Aranha-12628.71
920213-Esperada Cardoso-2399.98
226581-Tabalipa Duarte-2848.98
440316-Rebeca Neto-11348.81
496954-Telma Villalobos-21074.02
663489-Edgar Carvalheiro-12397.14
909247-Cleusa Goes-20336.31
596217-Urbano Rodrigues-15716.10
385393-Fulvio Villegas-224.27
129899-Aludsio Sosa-1546.78
840213-Fulvio Villegas-7136.31
882119-Silvio Mata-12975.51
764609-Eurico Siqueira-9512.94
4798-Odilia Bello-20697.34
499429-Cleusa Goes-21322.31
413219-Jorgina Bogalho-16584.11
647451-Antonio Castelo-6378.36
44027-Dulce Froes-9494.33
254875-Letedcia Gago-8153.34
367420-Jorgina Bogalho-14114.64
984424-Henrique Bento-16343.04
988421-Anind Zarco-10907.03
989960-Honorina Lira-2879.84
889500-Antonio Castelo-17759.89
186424-Daniel Vieyra-20104.88
885148-Delfina Garcia de Gondim-1154.18
814501-Sara Lameiras-20080.65
891713-Almerinda Palmeira-1386.26
95596-Carminda Morais-3968.80
726606-Sidfnio Frois-18322.48
35711-Armindo Castalo-15307.49
975361-Artur Grillo-7552.53
982121-Daniel Vieyra-18932.43
282572-Elisa Themes-9346.49
833383-Clarindo Areosa-11618.36
131508-Dulce Froes-3872.37
356789-Flamednia Leiria-19980.52
934824-Rodolfo Paz-15854.60
429126-Guaraci Damasceno-7210.72
290498-Edgar Carvalheiro-15747.98
99782-Filomena Barrios-63.50
246247-Quintino Alcantara-10243.26
95662-Celeste Duarte-16313.08
928987-Neeamia Arruda-6311.07
267372-Telma Villalobos-934.56
610247-Marilda Leio-31.04
370831-Ermelinda Quintela-20184.61
712926-Daniel Vieyra-3349.12
680559-Armindo Castalo-1968.58
528606-Jussara Varanda-2721.48
140839-Lina Andrade-19722.48
18033-Quintino Alcantara-4890.11
148611-Branco Saraba-12081.06
38885-Delfina Garcia de Gondim-1225.52
578354-Oliveira Senchez-11558.19
469796-Sara Lameiras-20234.29
598359-Dulce Froes-6933.16
294897-Aludsio Sosa-13210.29
967474-Jussara Varanda-18977.10
711687-Aludsio Sosa-6727.55
770494-Spnia ou Sonia Guerreiro-16258.96
179606-Branco Saraba-19929.14
914384-Manuel Capiperibe-3815.79
473301-Trajano Fagundes-8326.18
655281-Heleedsa Marins-21331.96
777357-Adelino Barra-11501.82
520092-Spnia ou Sonia Guerreiro-4182.97
723923-Guida Juca-19355.92
840027-Cassandra Varejo-8450.75
330234-Henrique Bento-153.04
968690-Neuza Francia-10210.74
855177-Odete Vasques-17212.54
268647-Sofras Cuaresma-9926.84
304761-Ermelinda Quintela-4666.74
376154-Flamednia Leiria-7743.29
782904-Fulvio Villegas-20091.07
135257-Antonio Castelo-20266.27
320396-Oliveira Carmona-6978.67
534896-Antonio Castelo-5052.23
459316-Spnia ou Sonia Guerreiro-16455.54
171319-Letedcia Gago-960.39
262687-Sofras Cuaresma-21238.94
300510-Heleedsa Marins-17756.79
917047-Artur Grillo-2595.00
667536-Lurdes Cotrim-19928.76
613979-Basilio Pedroso-16891.75
258877-Melinda Roserio-13718.27
200588-Emedlia Silvera-17341.47
250363-Ermelinda Quintela-19496.82
375674-Clara Alcantara-17686.58
320914-Henrique Bento-18638.29
340223-Angilica Galante-17136.08
613209-Marilda Leio-11634.25
603310-Regina Barcellos-5948.59
751125-Almor Caiado-8405.26
744638-Sara Lameiras-18861.40
844854-Odete Vasques-5869.15
604570-Jonatas Felgueiras-16561.16
231357-Silvio Mata-5868.83
81595-Emedlio Pimentel-3717.75
1869-Andreia Moita-10260.96
960871-Armindo Castalo-14234.36
330130-Sara Lameiras-11375.65
894645-Adelina Quadros-11611.69
959177-Judite Damasceno-19609.20
899881-Eurico Siqueira-161.81
48716-Almerinda Palmeira-16310.26
24587-Andreia Moita-2421.47
664244-Odete Vasques-8423.78
502582-Basilio Pedroso-17894.60
515270-Clara Alcantara-4339.78
873627-Aludsio Sosa-11669.39
840340-Ubaldo Mainha-18172.69
748623-Heleedsa Marins-20131.63
31875-Delfim Higuera-20141.23
324930-Flor Portella-16655.39
790822-Augusta Paio-5091.04
172076-Lina Andrade-20641.29
669282-Antonio Castelo-16223.09
565505-Anfnia Seixas-11333.28
236421-Quintiliano Sousa de Arronches-2183.60
519296-Neuza Francia-7412.33
238000-Ermelinda Quintela-1205.90
38448-Aludsio Sosa-16673.39
7597-Heleedsa Marins-16813.71
412924-Danilo Olaio-10032.12
999068-Cassandra Varejo-15190.03
127235-Jorgina Bogalho-16681.75
401996-Romo Paranage-9593.60
571059-Fulvio Villegas-21269.26
199669-Quintino Alcantara-12476.79
806046-Esperada Cardoso-14951.98
867414-Telma Villalobos-21454.36
713903-Branco Saraba-409.91
240160-Carminda Morais-6379.98
405361-Joaquim Rufino-16024.11
109387-Leonidas Mafra-8029.27
433659-Feledcia Peassego-20180.54
402764-Angelica Aranha-11949.72
680946-Delfina Perdigon-13235.43
803491-Daniel Vieyra-20457.43
285669-Micaela Chavez-16480.65
517459-Letedcia Gago-12974.49
822849-Zulmira Becerra-6636.79
499518-Spnia ou Sonia Guerreiro-17599.20
546638-Heleedsa Marins-1578.41
805490-Sidfnio Frois-18179.51
583248-Judite Damasceno-8069.01
51990-Cassandra Varejo-13363.03
397348-Ximena Castilho-7335.01
668477-Flor Portella-1318.20
134502-Emedlio Pimentel-18971.06
314719-Guaraci Damasceno-3281.40
447129-Lurdes Cotrim-19879.63
570179-Spnia ou Sonia Guerreiro-21014.62
691466-Oliveira Carmona-2025.25
223916-Adelina Quadros-15893.31
715652-Esperada Cardoso-13384.30
261206-Tarrataca Soares-11179.99
778926-Esperada Cardoso-18873.96
872575-Romo Paranage-14785.81
709119-Flor Portella-11392.32
127308-Nuno Balsemeo-2170.63
994555-Fulvio Villegas-8575.10
57468-Silvio Mata-9540.80
556207-Nuno Balsemeo-11447.72
896133-Tibofarcio Camacho-8845.12
186633-Micaela Chavez-9762.28
410424-Delfina Perdigon-12904.89
421213-Taercio Mafra-8747.84
449003-Tabalipa Duarte-10526.57
297285-Emedlio Pimentel-17223.66
768082-Aludsio Sosa-2370.09
378852-Adelino Barra-415.20
468797-Delfina Perdigon-17995.78
537435-Odilia Bello-8286.50
131405-Romo Paranage-15815.46
572549-Ximena Castilho-15812.49
960466-Branco Saraba-16346.60
347148-Melinda Roserio-9305.97
129942-Silvio Mata-2025.63
526382-Rebeca Neto-17298.60
154618-Rodolfo Paz-9671.45
845723-Tarrataca Soares-3900.40
563176-Camila Gabeira-19865.09
360806-Andreia Moita-14155.62
930078-Oliveira Carmona-10272.10
527612-Regina Barcellos-2632.99
869061-Antonio Viegas-4622.59
699279-Jorgina Bogalho-5946.07
313543-Honorina Lira-4002.53
100781-Silvio Mata-13577.79
770112-Jonatas Felgueiras-3114.50
448845-Quintiliano Sousa de Arronches-17732.96
131535-Guida Juca-1583.75
424705-Judite Damasceno-7157.36
368210-Neeamia Arruda-2951.83
374536-Emiliana Foquio-19287.10
630316-Micaela Chavez-1500.96
578678-Flor Portella-5447.95
124483-Neeamia Arruda-18401.09
716734-Cleusa Goes-7937.26
201773-Heleedsa Marins-12754.96
831329-Henrique Bento-13749.45
500606-Delfim Higuera-11335.93
194754-Manuel Capiperibe-2035.34
967560-Oliveira Senchez-15609.02
466782-Joaquim Rufino-3447.93
748616-Tibofarcio Camacho-2839.39
806233-Anfnia Seixas-8655.18
470429-Clara Alcantara-8726.42
387498-Basilio Pedroso-5078.76
600174-Oliveira Senchez-15010.77
263075-Delfim Higuera-5244.25
221925-Camila Gabeira-1154.42
72604-Artur Grillo-1131.53
659566-Odilia Bello-19331.21
429241-Mercia Caeira-1601.04
941946-Dulce Froes-14998.52
34037-Daniel Vieyra-21196.59
921147-Henrique Bento-4666.45
949521-Manuel Capiperibe-12360.33
187238-Zungela Ipiranga-14906.33
953465-Micaela Chavez-15418.96
664344-Telma Villalobos-10156.34
967762-Celeste Duarte-702.23
