356556-Quintino Alcantara-18685.25
491458-Nuno Balsemeo-2526.35
207989-Cassandra Varejo-11093.93
257549-Daniel Vieyra-6540.08
793302-Angilica Galante-10858.48
594923-Moaci Mendoa-4513.97
506401-Eurico Siqueira-17669.66
86962-Anind Zarco-3214.43
877880-Emedlio Pimentel-11519.70
770584-Marilda Leio-3636.29
624147-Fulvio Villegas-7959.85
615978-Oliveira Carmona-13464.77
165448-Zungela Ipiranga-21356.85
352020-Flamednia Leiria-10114.59
359146-Romo Paranage-247.68
597853-Neuza Francia-16523.63
169471-Branco Saraba-15663.86
926011-Ermelinda Quintela-219.89
624272-Joaquim Rufino-16798.67
775160-Neeamia Arruda-10311.54
39924-Taercio Mafra-1522.95
862621-Daniel Vieyra-9449.11
803596-Ximena Castilho-4985.92
170347-Odete Vasques-8139.44
28490-Gaudancio Fiees-18523.04
250825-Ximena Castilho-17044.18
869693-Heleedsa Marins-5031.04
970963-Augusta Paio-1015.46
515600-Armindo Castalo-4041.70
546404-Guida Juca-5599.45
205925-Domingos Pas-21119.85
850719-Telma Villalobos-4863.64
488596-Henrique Bento-2306.84
327545-Romo Paranage-3068.55
625116-Lurdes Cotrim-13688.83
690963-Tibefarcio Colao-2076.50
636360-Zungela Ipiranga-15695.20
484062-Branco Saraba-7790.07
321029-Angilica Galante-3050.39
541495-Letedcia Gago-12995.86
916043-Sidfnio Frois-19787.92
585173-Edgar Carvalheiro-9911.59
681215-Delfina Garcia de Gondim-18306.47
853265-Clarindo Areosa-1904.91
2399-Jonatas Felgueiras-13771.16
455060-Mercia Caeira-11203.23
841805-Clarindo Areosa-10724.76
332104-Filomena Barrios-6524.77
368321-Micaela Chavez-20297.98
574728-Eurico Siqueira-4418.55
242837-Tibefarcio Colao-12147.72
896221-Augusta Paio-2058.73
430205-Romo Paranage-5075.54
648385-Gaudancio Fiees-4709.24
721108-Rebeca Neto-9099.26
193217-Delfim Higuera-15293.81
315536-Emedlio Pimentel-18862.23
957759-Leonidas Mafra-3360.72
123553-Manuel Capiperibe-12754.40
328518-Armindo Castalo-8135.31
635410-Jussara Varanda-16577.74
733802-Clara Alcantara-16251.86
23469-Aludsio Sosa-12021.33
443951-Jussara Varanda-6192.98
871849-Judite Damasceno-1835.35
932281-Micaela Chavez-12637.28
316208-Rodolfo Paz-19200.44
692696-Adelino Barra-15745.18
545807-Filomena Barrios-10061.58
712921-Augusta Paio-5200.03
735535-Daniel Vieyra-14156.38
529690-Letedcia Gago-13768.88
713265-Zungela Ipiranga-13949.12
451121-Danilo Olaio-11528.72
112877-Armindo Castalo-8412.60
217283-Nuno Balsemeo-18371.93
703048-Manuel Capiperibe-9660.25
928329-Moaci Mendoa-14477.18
741582-Clara Alcantara-17872.64
994776-Heleedsa Marins-18669.77
778991-Ermelinda Quintela-21287.12
853416-Regina Barcellos-16397.58
630626-Estanislau Beserra-6059.88
540825-Judite Damasceno-16824.39
265103-Camila Gabeira-10450.68
524568-Augusta Paio-17512.86
512438-Cassandra Varejo-10355.05
576953-Oliveira Carmona-7839.50
159519-Emedlia Silvera-13326.91
900041-Camila Gabeira-18096.86
159742-Emedlia Silvera-8809.81
57680-Ubaldo Mainha-2043.51
360360-Cassandra Varejo-14049.82
91251-Carminda Morais-13900.39
694305-Taercio Mafra-7788.20
74075-Andreia Moita-19023.45
646490-Marilda Leio-17293.74
760463-Jussara Varanda-324.67
108689-Polibe Olivares-5336.26
720625-Danilo Olaio-20915.27
