461016-Eurico Siqueira-5690.47
706215-Estanislau Beserra-13497.26
94884-Delfina Garcia de Gondim-19532.95
248290-Regina Barcellos-8816.34
443261-Angilica Galante-16697.45
100736-Ximena Castilho-5845.23
202335-Estanislau Beserra-10589.56
840013-Oliveira Senchez-14492.02
736868-Marilda Leio-16546.41
694520-Sidfnio Frois-2265.65
739091-Mercia Caeira-10470.26
821032-Sidfnio Frois-5762.49
309671-Edgar Carvalheiro-12473.43
428899-Urbano Rodrigues-2861.08
896632-Oliveira Carmona-13745.51
964939-Almerinda Palmeira-4411.69
755188-Clarindo Areosa-6633.71
971927-Tarrataca Soares-8042.11
989155-Taercio Mafra-16219.48
571270-Fulvio Villegas-19566.42
668254-Micaela Chavez-4488.98
328273-Adelina Quadros-10927.19
230909-Odete Vasques-1755.45
428641-Elisa Themes-17599.74
776589-Jussara Varanda-463.87
869064-Camila Gabeira-18363.52
1218-Marilda Leio-6276.23
89041-Clara Alcantara-16005.95
411882-Almerinda Palmeira-2051.01
858976-Adelino Barra-5846.72
387474-Tibefarcio Colao-608.56
458391-Mercia Caeira-13501.85
261591-Artur Grillo-15074.16
924662-Armanda Amorim-3383.61
212247-Filomena Barrios-8721.37
51255-Marilda Leio-4835.23
58773-Odilia Bello-19045.24
437136-Lina Andrade-18991.29
542711-Aludsio Sosa-19165.41
112365-Branco Saraba-14639.16
840618-Ermelinda Quintela-7678.20
950211-Rodolfo Paz-8752.79
811230-Sara Lameiras-2150.57
700644-Quintino Alcantara-344.98
80056-Artur Grillo-6197.10
846098-Augusta Paio-11977.61
480061-Sofras Cuaresma-623.36
253485-Heleedsa Marins-242.90
621946-Urbano Rodrigues-18878.32
90950-Carminda Morais-8324.61
231767-Cassandra Varejo-9623.02
745356-Lina Andrade-5787.68
443638-Flamednia Leiria-7745.80
73873-Eurico Siqueira-17252.80
64703-Ermelinda Quintela-8958.77
192717-Ermelinda Quintela-4802.39
359684-Manuel Capiperibe-1672.35
50470-Polibe Olivares-5844.89
903171-Joaquim Rufino-11851.11
296967-Taercio Mafra-267.18
123538-Angelica Aranha-19889.50
770358-Delfina Perdigon-6902.12
212170-Emiliana Foquio-17756.55
710565-Edgar Carvalheiro-3102.46
190206-Tibofarcio Camacho-9273.10
412395-Guida Juca-2040.19
879333-Camila Gabeira-7713.79
198847-Oliveira Carmona-2389.46
808075-Delfina Garcia de Gondim-5058.49
249728-Edgar Carvalheiro-13411.46
668874-Jonatas Felgueiras-20612.70
906132-Emedlio Pimentel-12865.56
395361-Angelica Aranha-20397.68
980495-Heleedsa Marins-2409.95
362180-Guaraci Damasceno-2197.02
136823-Manuel Capiperibe-4481.14
634171-Manuel Capiperibe-21239.94
883341-Sidfnio Frois-10147.09
621468-Quintino Alcantara-14395.17
470496-Tibofarcio Camacho-9912.83
37729-Filomena Barrios-5024.68
587637-Aludsio Sosa-9353.74
832873-Ermelinda Quintela-7212.86
766131-Emedlia Silvera-6347.83
944932-Tibofarcio Camacho-2536.61
433979-Filomena Barrios-4737.98
942341-Rebeca Neto-17754.32
829704-Marilda Leio-308.32
179240-Oliveira Carmona-1194.54
377770-Moaci Mendoa-10789.24
722261-Dulce Froes-7884.78
368956-Delfina Perdigon-12370.66
571860-Tibofarcio Camacho-9674.15
59497-Heleedsa Marins-17551.81
542432-Estanislau Beserra-17631.26
727223-Joaquim Rufino-19185.60
542618-Tabalipa Duarte-2780.19
351597-Moaci Mendoa-19078.48
385712-Antonio Castelo-6045.44
936686-Andreia Moita-11689.22
286952-Delfina Garcia de Gondim-6471.60
621736-Eurico Siqueira-11005.29
814465-Daniel Vieyra-16681.01
809556-Trajano Fagundes-946.77
103858-Trajano Fagundes-9162.20
543197-Cassandra Varejo-574.63
297102-Trajano Fagundes-1140.06
483390-Neeamia Arruda-10623.57
18108-Silvio Mata-17697.43
490020-Oliveira Carmona-15281.96
402325-Delfim Higuera-13289.99
309106-Sidfnio Frois-16746.21
281646-Jorgina Bogalho-13529.52
669172-Cassandra Varejo-10852.78
270517-Cassandra Varejo-15063.82
997911-Ubaldo Mainha-7224.41
801683-Tabalipa Duarte-13547.38
624176-Domingos Pas-8837.38
811446-Sidfnio Frois-14877.56
542732-Cleusa Goes-11387.62
712158-Celeste Duarte-9156.81
41985-Judite Damasceno-16069.90
417521-Aludsio Sosa-1547.88
894275-Antonio Castelo-18214.58
48095-Delfim Higuera-19197.28
937767-Feledcia Peassego-652.42
290514-Anfnia Seixas-3240.44
648954-Neuza Francia-8266.68
881036-Spnia ou Sonia Guerreiro-13334.80
856120-Danilo Olaio-3015.39
543597-Taercio Mafra-10472.51
746770-Neeamia Arruda-20702.93
571025-Telma Villalobos-1762.27
863529-Sara Lameiras-13281.21
950192-Fulvio Villegas-13256.85
418520-Carminda Morais-10851.40
328061-Delfina Garcia de Gondim-6639.46
8623-Lurdes Cotrim-1761.12
910891-Trajano Fagundes-6839.93
602030-Letedcia Gago-18098.49
539356-Rebeca Neto-7869.09
190602-Estanislau Beserra-10916.56
832171-Celeste Duarte-1037.43
262061-Delfina Perdigon-13236.07
665796-Elisa Themes-15415.57
797542-Anfnia Seixas-1164.92
687913-Zungela Ipiranga-20658.20
622241-Ubaldo Mainha-1543.45
741054-Regina Barcellos-17082.55
339447-Emiliana Foquio-17728.57
476504-Tabalipa Duarte-14869.13
380736-Lurdes Cotrim-17661.04
577775-Antonio Castelo-20699.36
517848-Flamednia Leiria-4057.14
578878-Mercia Caeira-7423.80
841663-Antonio Castelo-7046.94
243972-Neuza Francia-3578.98
109023-Heleedsa Marins-260.37
85771-Odilia Bello-5357.78
55251-Oliveira Carmona-10731.17
389937-Emedlia Silvera-19395.94
149778-Zungela Ipiranga-20349.75
48839-Emedlia Silvera-12820.69
207203-Edgar Carvalheiro-20045.87
488398-Daniel Vieyra-12356.82
326265-Micaela Chavez-3010.40
655676-Branco Saraba-2858.00
837396-Marilda Leio-18539.09
847345-Marilda Leio-8865.11
629118-Manuel Capiperibe-2150.83
784744-Moaci Mendoa-16494.73
369931-Angelica Aranha-16816.23
58931-Clara Alcantara-14031.88
200266-Esperada Cardoso-9179.11
572350-Sidfnio Frois-15494.00
324627-Trajano Fagundes-5442.42
770992-Delfim Higuera-1664.15
632062-Ermelinda Quintela-3342.52
13725-Branco Saraba-12020.99
689740-Adelino Barra-1832.45
483202-Oliveira Senchez-11980.29
386969-Danilo Olaio-14383.99
781775-Neeamia Arruda-5229.75
761749-Augusta Paio-5216.91
844739-Antonio Castelo-18402.64
609623-Odilia Bello-9261.05
414417-Lurdes Cotrim-6313.92
535796-Guaraci Damasceno-13140.24
566433-Domingos Pas-8525.54
624803-Dulce Froes-19302.44
249804-Polibe Olivares-13252.43
380431-Aludsio Sosa-9771.47
133758-Melinda Roserio-7734.45
591327-Trajano Fagundes-19962.07
476695-Celeste Duarte-2075.68
761906-Regina Barcellos-9381.77
805931-Dulce Froes-1941.08
748092-Ximena Castilho-4086.44
458491-Spnia ou Sonia Guerreiro-12882.10
268121-Nuno Balsemeo-15718.35
322452-Angilica Galante-14746.01
922580-Armindo Castalo-4984.98
438437-Gaudancio Fiees-3251.48
412601-Rodolfo Paz-2102.56
594394-Jonatas Felgueiras-10717.33
556167-Angelica Aranha-1640.11
138899-Odilia Camello-1788.17
597231-Emedlio Pimentel-12825.65
595928-Sofras Cuaresma-16620.23
665067-Ermelinda Quintela-3718.08
494389-Taercio Mafra-18901.30
567096-Emiliana Foquio-9725.69
786509-Emedlio Pimentel-12050.08
967108-Micaela Chavez-9629.37
870641-Telma Villalobos-7680.47
341849-Odilia Camello-3131.20
990355-Spnia ou Sonia Guerreiro-5242.59
263280-Fulvio Villegas-20328.56
180069-Ubaldo Mainha-18579.68
307154-Mercia Caeira-8521.50
785692-Flamednia Leiria-9456.44
381838-Zungela Ipiranga-13162.11
476024-Fulvio Villegas-7935.14
718360-Tibofarcio Camacho-1509.97
216525-Emedlio Pimentel-13848.68
963567-Heleedsa Marins-4077.26
205040-Lurdes Cotrim-3052.33
779579-Jonatas Felgueiras-12714.96
435277-Dulce Froes-15676.76
114272-Odilia Camello-3345.00
601039-Letedcia Gago-12912.86
734382-Silvio Mata-16176.67
953234-Delfina Garcia de Gondim-18121.43
179679-Quintino Alcantara-523.78
859022-Neeamia Arruda-8435.95
585659-Artur Grillo-9625.58
948460-Augusta Paio-5732.80
53621-Urbano Rodrigues-20020.59
531077-Zulmira Becerra-890.11
9460-Judite Damasceno-7911.25
121133-Jussara Varanda-1852.42
909543-Feledcia Peassego-1614.93
392729-Aludsio Sosa-16924.46
906257-Danilo Olaio-16881.42
933587-Danilo Olaio-11115.18
312656-Filomena Barrios-7306.20
934371-Henrique Bento-8585.68
305438-Tarrataca Soares-20196.22
656434-Angelica Aranha-19516.69
716484-Guaraci Damasceno-3651.95
760038-Delfim Higuera-2598.33
121845-Filomena Barrios-4337.42
151039-Flamednia Leiria-556.51
839995-Oliveira Senchez-20665.58
390721-Domingos Pas-1750.07
568800-Ubaldo Mainha-608.36
788742-Odilia Camello-21317.71
804644-Odete Vasques-2505.93
396085-Zungela Ipiranga-21312.49
998343-Silvio Mata-7514.82
725690-Liana Cardim-7407.58
211870-Oliveira Senchez-12428.80
674912-Odilia Bello-17280.31
617108-Quintino Alcantara-18608.71
701783-Odete Vasques-16937.78
304313-Odilia Camello-20703.47
43061-Ximena Castilho-18056.52
350134-Lina Andrade-14729.73
311857-Anind Zarco-9268.86
942956-Trajano Fagundes-2564.00
769243-Basilio Pedroso-2526.42
944554-Emedlio Pimentel-11008.54
345730-Flor Portella-8150.46
914554-Zulmira Becerra-10876.63
557285-Danilo Olaio-14593.64
691156-Judite Damasceno-8941.85
177881-Polibe Olivares-1227.44
951831-Taercio Mafra-36.11
318443-Zulmira Becerra-4089.23
934151-Ximena Castilho-11428.66
64496-Esperada Cardoso-4231.51
436812-Almerinda Palmeira-6570.96
205649-Quintino Alcantara-1309.58
522045-Artur Grillo-10478.73
225995-Rodolfo Paz-11794.30
224574-Moaci Mendoa-7006.37
570228-Armanda Amorim-18198.15
600757-Flor Portella-2262.83
604451-Emiliana Foquio-4656.02
493749-Edgar Carvalheiro-3740.52
299698-Odilia Camello-7031.17
231637-Neuza Francia-460.70
50491-Gaudancio Fiees-17932.76
398469-Domingos Pas-12303.14
925383-Guaraci Damasceno-2180.56
333016-Odilia Bello-4502.81
442035-Dulce Froes-18498.51
779147-Celeste Duarte-19274.52
727192-Angelica Aranha-85.73
114378-Flamednia Leiria-13150.67
367310-Polibe Olivares-18083.66
771583-Odilia Camello-17411.14
271751-Odilia Bello-666.81
246249-Mercia Caeira-18950.79
93279-Leonidas Mafra-18715.21
886478-Clarindo Areosa-14553.71
317003-Neeamia Arruda-15408.13
562734-Odete Vasques-1031.08
608208-Daniel Vieyra-14408.35
255514-Delfina Perdigon-16679.50
471509-Sara Lameiras-19273.17
287985-Danilo Olaio-4946.05
690811-Lina Andrade-1743.93
369283-Augusta Paio-10976.39
878150-Andreia Moita-172.49
959761-Antonio Castelo-2601.35
805984-Andreia Moita-3794.52
19753-Gaudancio Fiees-475.32
201825-Dulce Froes-16381.40
956650-Taercio Mafra-13219.12
294331-Augusta Paio-16203.83
514566-Clarindo Areosa-10891.88
848992-Romo Paranage-19218.78
864452-Tibofarcio Camacho-16167.64
992119-Edgar Carvalheiro-14041.58
641024-Honorina Lira-15021.18
176888-Daniel Vieyra-2134.40
525393-Elisa Themes-15354.60
498391-Henrique Bento-9531.78
306722-Sofras Cuaresma-6226.51
581116-Delfina Perdigon-18589.46
688883-Liana Cardim-279.77
401606-Joaquim Rufino-11658.26
23740-Regina Barcellos-10442.06
768832-Antonio Castelo-15581.99
279216-Henrique Bento-2843.56
925019-Danilo Olaio-8255.33
23244-Anind Zarco-4275.75
652977-Moaci Mendoa-13410.73
938779-Oliveira Senchez-7118.96
652516-Neuza Francia-2079.94
749346-Delfim Higuera-17566.82
549957-Quintino Alcantara-15576.00
228810-Silvio Mata-19326.24
704242-Manuel Capiperibe-18319.09
338053-Moaci Mendoa-12727.05
606356-Angelica Aranha-5151.46
798782-Tibofarcio Camacho-20861.70
484142-Carminda Morais-17383.39
347909-Neeamia Arruda-11097.94
863084-Spnia ou Sonia Guerreiro-15224.46
840352-Eurico Siqueira-3017.12
310631-Honorina Lira-6842.62
90210-Almerinda Palmeira-2970.07
592596-Silvio Mata-7567.11
809910-Tarrataca Soares-13200.50
383176-Armanda Amorim-13416.56
5634-Domingos Pas-10349.71
202677-Quintino Alcantara-19354.55
472696-Leonidas Mafra-7013.19
638765-Almerinda Palmeira-1026.99
314704-Flor Portella-19985.39
189396-Ubaldo Mainha-21218.50
664447-Letedcia Gago-16384.56
279950-Lurdes Cotrim-15925.65
321088-Nuno Balsemeo-13948.92
583429-Emedlio Pimentel-13297.91
475641-Sidfnio Frois-753.13
570024-Danilo Olaio-2065.16
519554-Quintino Alcantara-9169.89
263012-Moaci Mendoa-7711.44
969266-Leonidas Mafra-21244.58
387662-Romo Paranage-2911.64
68158-Neuza Francia-11238.29
272267-Almor Caiado-1126.25
671528-Guida Juca-12369.46
153050-Odilia Camello-14745.29
290486-Elisa Themes-13405.21
398970-Odete Vasques-7736.08
995349-Letedcia Gago-15121.27
394827-Anind Zarco-3709.07
9545-Basilio Pedroso-10198.76
679855-Celeste Duarte-16132.64
716390-Daniel Vieyra-6878.48
209358-Rebeca Neto-6881.20
784061-Celeste Duarte-2233.08
766761-Flor Portella-6134.61
56987-Anfnia Seixas-10527.52
144020-Almerinda Palmeira-4286.67
263243-Henrique Bento-6766.62
371000-Antonio Viegas-3505.74
622409-Emedlio Pimentel-17005.83
848525-Quintiliano Sousa de Arronches-2827.79
755098-Polibe Olivares-3664.96
490223-Taercio Mafra-14427.05
850202-Eurico Siqueira-8090.06
672475-Ermelinda Quintela-20077.72
24120-Cassandra Varejo-20738.29
413481-Quintiliano Sousa de Arronches-10824.90
410584-Edgar Carvalheiro-13877.53
51334-Micaela Chavez-17591.24
115096-Urbano Rodrigues-8202.63
538432-Romo Paranage-6956.28
258062-Leonidas Mafra-16763.83
825790-Flor Portella-5913.89
513885-Tibefarcio Colao-18482.39
510225-Judite Damasceno-2414.28
967862-Almerinda Palmeira-15404.52
693634-Clarindo Areosa-6433.82
86512-Emedlio Pimentel-4713.09
658196-Adelino Barra-3888.77
803513-Delfim Higuera-7669.92
532009-Quintino Alcantara-4780.47
556243-Regina Barcellos-11353.05
559901-Angelica Aranha-12791.31
301398-Silvio Mata-15976.44
532090-Feledcia Peassego-1666.71
567796-Neeamia Arruda-18946.39
949151-Quintino Alcantara-13918.49
820174-Clarindo Areosa-12344.52
960462-Judite Damasceno-20991.10
741015-Elisa Themes-414.30
784242-Flor Portella-10569.62
455021-Camila Gabeira-11335.18
24801-Emiliana Foquio-6375.94
983807-Emedlia Silvera-10118.96
