27887-Odilia Camello-7992.97
541329-Oliveira Carmona-11069.04
484212-Eurico Siqueira-2780.83
103162-Anfnia Seixas-7456.19
127989-Melinda Roserio-20982.57
299208-Letedcia Gago-5505.39
181443-Rodolfo Paz-282.44
894816-Angelica Aranha-8663.96
741178-Rodolfo Paz-17621.30
661008-Cleusa Goes-5041.95
523735-Filomena Barrios-20172.23
616208-Sidfnio Frois-18282.81
577382-Emedlia Silvera-382.81
921675-Rebeca Neto-20653.84
761484-Domingos Pas-670.29
179748-Antonio Castelo-17963.28
3358-Delfim Higuera-13330.26
7739-Odete Vasques-20289.21
824245-Danilo Olaio-21266.62
893478-Nuno Balsemeo-11458.39
105555-Henrique Bento-3288.79
614697-Marilda Leio-1210.12
544133-Tarrataca Soares-221.06
556720-Delfina Perdigon-8550.27
188399-Leonidas Mafra-2443.05
593329-Guaraci Damasceno-2180.01
53293-Edgar Carvalheiro-9270.05
241120-Edgar Carvalheiro-815.29
341143-Antonio Castelo-14103.53
87121-Zulmira Becerra-16512.46
28292-Odilia Bello-17613.52
708894-Angelica Aranha-3924.83
186610-Oliveira Senchez-7990.27
945651-Nuno Balsemeo-11115.84
89180-Henrique Bento-20757.72
777890-Domingos Pas-14948.82
310989-Cassandra Varejo-20669.35
869921-Heleedsa Marins-16726.93
865854-Clarindo Areosa-11785.50
556317-Delfim Higuera-1991.54
569616-Spnia ou Sonia Guerreiro-13861.82
978540-Flor Portella-3144.07
399299-Emiliana Foquio-9595.94
925626-Ximena Castilho-12125.39
479196-Lina Andrade-9911.45
854198-Aludsio Sosa-3624.39
714028-Tarrataca Soares-11227.50
94748-Zulmira Becerra-3101.36
4097-Almerinda Palmeira-21010.02
782672-Delfina Garcia de Gondim-320.75
323952-Zulmira Becerra-16916.45
217139-Marilda Leio-9661.40
593283-Ermelinda Quintela-1240.55
512869-Augusta Paio-13349.81
532619-Odilia Bello-11589.76
324579-Odilia Bello-19878.30
514783-Armindo Castalo-18920.61
156524-Oliveira Senchez-17986.72
7274-Flor Portella-17891.92
408176-Domingos Pas-11264.92
962705-Sidfnio Frois-14618.15
215503-Quintino Alcantara-2615.49
391818-Cleusa Goes-656.59
645556-Guaraci Damasceno-16731.71
955071-Mercia Caeira-19007.04
925895-Esperada Cardoso-6765.45
335919-Tarrataca Soares-16430.60
496132-Eurico Siqueira-4247.33
309160-Feledcia Peassego-8417.40
124504-Augusta Paio-19251.48
531186-Tibefarcio Colao-17266.27
582470-Anfnia Seixas-16323.59
289600-Lina Andrade-19567.51
51876-Elisa Themes-15119.13
794924-Daniel Vieyra-15103.84
30643-Urbano Rodrigues-7958.26
613233-Almerinda Palmeira-18781.62
773074-Edgar Carvalheiro-15851.75
604915-Tabalipa Duarte-2270.00
661908-Celeste Duarte-20521.25
210375-Leonidas Mafra-6501.72
574268-Almor Caiado-20077.55
3429-Mercia Caeira-6485.61
91141-Esperada Cardoso-9916.13
350275-Rodolfo Paz-769.24
346152-Clarindo Areosa-12109.55
887001-Sidfnio Frois-20865.68
487603-Quintino Alcantara-3008.57
337188-Sidfnio Frois-19474.62
926676-Gaudancio Fiees-2256.40
180597-Gaudancio Fiees-5568.51
578008-Basilio Pedroso-1079.41
334411-Spnia ou Sonia Guerreiro-12879.45
874330-Emiliana Foquio-20150.36
326969-Letedcia Gago-18149.03
680102-Oliveira Senchez-4407.65
859625-Delfim Higuera-7166.52
717809-Judite Damasceno-21381.40
267140-Guaraci Damasceno-8349.93
816776-Heleedsa Marins-19439.20
