765079-Filomena Barrios-9715.51
211968-Jussara Varanda-21237.76
221085-Emiliana Foquio-2341.94
164214-Celeste Duarte-19970.15
905064-Almerinda Palmeira-17031.65
118262-Cleusa Goes-9430.49
727003-Anfnia Seixas-14400.07
894547-Ermelinda Quintela-9654.67
437741-Lurdes Cotrim-5363.43
351161-Armindo Castalo-6784.99
539402-Angilica Galante-1267.81
233844-Gaudancio Fiees-10259.93
513352-Odete Vasques-16502.14
518038-Odete Vasques-18133.78
585811-Odilia Bello-13327.99
71365-Gaudancio Fiees-6184.34
777189-Odete Vasques-3776.77
432498-Emiliana Foquio-14515.72
190588-Mercia Caeira-9405.26
644801-Odilia Camello-17978.77
612714-Antonio Castelo-819.33
648373-Neuza Francia-5331.67
460119-Liana Cardim-8356.80
982542-Augusta Paio-11061.98
36565-Tabalipa Duarte-13267.84
772389-Clara Alcantara-13418.55
557435-Armanda Amorim-2251.49
349206-Adelino Barra-19295.81
124740-Sara Lameiras-6522.88
759859-Oliveira Carmona-10979.33
894184-Cassandra Varejo-290.62
292795-Manuel Capiperibe-5647.10
716716-Aludsio Sosa-5336.87
354327-Emedlio Pimentel-1701.86
369842-Delfina Garcia de Gondim-14712.22
217382-Esperada Cardoso-18449.95
498857-Ermelinda Quintela-870.69
457621-Silvio Mata-19324.18
988223-Cleusa Goes-19040.59
561106-Artur Grillo-5383.35
527433-Carminda Morais-6612.29
426605-Urbano Rodrigues-2520.38
492467-Fulvio Villegas-3367.55
754723-Spnia ou Sonia Guerreiro-4181.09
215059-Guaraci Damasceno-1619.96
459288-Ubaldo Mainha-9012.13
591478-Rebeca Neto-11067.12
356115-Cassandra Varejo-11561.69
218401-Judite Damasceno-3536.74
885277-Gaudancio Fiees-17872.35
485192-Clarindo Areosa-8122.79
147211-Guida Juca-18057.06
36059-Tabalipa Duarte-10057.14
95504-Anind Zarco-13954.69
857144-Nuno Balsemeo-19336.84
357543-Artur Grillo-17996.60
852738-Neuza Francia-1877.68
416517-Tibofarcio Camacho-16181.24
914438-Tarrataca Soares-15778.59
503944-Fulvio Villegas-7192.60
912190-Spnia ou Sonia Guerreiro-1402.62
66066-Rodolfo Paz-20174.09
742014-Guaraci Damasceno-4729.61
689454-Emedlia Silvera-3355.73
746362-Dulce Froes-17754.30
315284-Carminda Morais-19687.88
580899-Sofras Cuaresma-6131.57
74767-Camila Gabeira-20905.73
254510-Andreia Moita-18910.04
108351-Neeamia Arruda-19185.08
713748-Quintiliano Sousa de Arronches-5639.37
598135-Guida Juca-6360.03
704469-Quintino Alcantara-2392.61
525216-Branco Saraba-18579.51
331451-Guida Juca-16152.13
338235-Oliveira Carmona-18205.29
521206-Tibofarcio Camacho-12276.26
955492-Daniel Vieyra-9432.17
546262-Ximena Castilho-21234.71
995567-Micaela Chavez-8270.96
221388-Oliveira Senchez-9888.10
708917-Adelina Quadros-12734.08
605365-Telma Villalobos-13391.13
979496-Spnia ou Sonia Guerreiro-441.54
926813-Zungela Ipiranga-9314.86
820814-Flamednia Leiria-16398.24
19040-Telma Villalobos-18213.45
374231-Aludsio Sosa-16638.17
819256-Regina Barcellos-6378.79
784905-Liana Cardim-3213.91
775122-Emiliana Foquio-14336.13
702098-Ximena Castilho-19673.22
631898-Delfina Perdigon-17924.43
339240-Quintiliano Sousa de Arronches-13819.39
997228-Quintiliano Sousa de Arronches-10713.82
384927-Marilda Leio-4887.20
817622-Jonatas Felgueiras-16027.39
392564-Feledcia Peassego-7316.29
184520-Trajano Fagundes-21134.48
964352-Armanda Amorim-11967.50
840411-Carminda Morais-20475.25
42797-Urbano Rodrigues-9347.43
653295-Tibofarcio Camacho-6418.92
892724-Elisa Themes-14082.31
286302-Tarrataca Soares-7967.44
681831-Marilda Leio-4226.46
901194-Danilo Olaio-21064.63
981951-Cleusa Goes-6333.72
395944-Quintino Alcantara-12415.57
689437-Esperada Cardoso-17595.21
374349-Odilia Camello-8668.78
188421-Letedcia Gago-16999.21
840569-Eurico Siqueira-12370.90
452512-Augusta Paio-8174.99
3746-Camila Gabeira-4853.02
453787-Adelina Quadros-11719.84
623451-Jonatas Felgueiras-2224.01
48129-Polibe Olivares-16053.83
102053-Neuza Francia-5422.96
637183-Armanda Amorim-19659.85
405722-Mercia Caeira-19028.76
731847-Odete Vasques-17865.81
801304-Clarindo Areosa-14369.38
278696-Zungela Ipiranga-4989.06
986911-Delfina Perdigon-3544.26
439529-Filomena Barrios-20748.80
54181-Heleedsa Marins-18540.20
132137-Lina Andrade-12945.85
98665-Augusta Paio-11282.03
138285-Liana Cardim-13208.40
698997-Andreia Moita-9217.62
653916-Odilia Bello-19784.94
529488-Armindo Castalo-11308.12
11711-Moaci Mendoa-11680.90
509662-Neeamia Arruda-13510.77
793291-Liana Cardim-3290.33
93485-Adelino Barra-6720.87
278734-Oliveira Senchez-1917.36
363694-Almor Caiado-16688.35
744309-Moaci Mendoa-20499.73
142721-Almor Caiado-9471.88
416926-Emedlia Silvera-13748.42
788051-Oliveira Senchez-7378.88
96664-Armanda Amorim-2734.16
827982-Anfnia Seixas-7989.26
985751-Spnia ou Sonia Guerreiro-6522.35
540110-Zulmira Becerra-10053.29
630863-Guaraci Damasceno-20806.07
822491-Manuel Capiperibe-11884.88
217046-Artur Grillo-10187.48
451712-Augusta Paio-13898.91
964915-Elisa Themes-20573.08
488502-Estanislau Beserra-5126.12
340129-Anind Zarco-3402.25
282142-Estanislau Beserra-20390.53
301451-Micaela Chavez-16685.55
870290-Cleusa Goes-13036.12
526488-Nuno Balsemeo-6507.59
434888-Manuel Capiperibe-10045.82
177802-Marilda Leio-13457.99
409868-Esperada Cardoso-8477.67
830083-Estanislau Beserra-4322.48
608717-Tibofarcio Camacho-20777.37
275256-Liana Cardim-4725.93
874117-Lurdes Cotrim-10798.75
398608-Moaci Mendoa-9556.93
158374-Rodolfo Paz-4290.79
763250-Melinda Roserio-1721.22
975620-Silvio Mata-3765.57
191882-Angelica Aranha-5637.35
672698-Esperada Cardoso-6361.45
44436-Ermelinda Quintela-15409.75
240375-Telma Villalobos-3581.00
564918-Daniel Vieyra-21203.75
114729-Heleedsa Marins-6587.66
717790-Delfina Perdigon-10671.64
908908-Zulmira Becerra-18503.23
711841-Anind Zarco-18660.86
273806-Angelica Aranha-10475.78
933644-Angelica Aranha-5832.86
392051-Danilo Olaio-14919.59
133441-Quintino Alcantara-8685.20
122731-Henrique Bento-7702.76
364773-Delfim Higuera-17098.41
199698-Daniel Vieyra-18799.56
909648-Regina Barcellos-11721.90
345129-Lina Andrade-12550.99
343727-Tibofarcio Camacho-12848.11
464636-Ubaldo Mainha-19120.85
659094-Rodolfo Paz-19940.18
588553-Micaela Chavez-7289.27
662879-Tarrataca Soares-11120.60
228509-Tabalipa Duarte-14281.83
894160-Letedcia Gago-16075.48
451439-Jussara Varanda-21227.47
774465-Flamednia Leiria-19061.73
778197-Tibofarcio Camacho-19135.19
104657-Regina Barcellos-4263.79
549801-Polibe Olivares-19118.43
572896-Melinda Roserio-3040.19
882177-Angilica Galante-4616.07
666694-Estanislau Beserra-8732.70
970883-Jussara Varanda-9324.99
67823-Flor Portella-9973.93
522432-Dulce Froes-10408.44
933087-Carminda Morais-17216.19
50282-Sara Lameiras-19593.97
782925-Rebeca Neto-14570.18
326505-Antonio Castelo-20805.68
471181-Esperada Cardoso-5826.57
150597-Branco Saraba-18415.39
756804-Polibe Olivares-9067.22
939596-Ximena Castilho-7942.09
305351-Daniel Vieyra-1267.94
251547-Fulvio Villegas-6143.16
945178-Domingos Pas-19892.49
328597-Lina Andrade-11288.16
746933-Joaquim Rufino-14355.99
543912-Flor Portella-20469.25
700524-Elisa Themes-5799.13
875862-Henrique Bento-11760.63
174831-Artur Grillo-2693.36
743960-Lina Andrade-11192.76
811757-Romo Paranage-8590.98
788734-Emedlia Silvera-10963.49
609980-Delfina Garcia de Gondim-18062.95
566310-Judite Damasceno-6001.39
435923-Judite Damasceno-15388.86
839827-Antonio Castelo-7539.47
811471-Adelino Barra-1571.64
956456-Ermelinda Quintela-525.56
156959-Domingos Pas-9017.31
79673-Nuno Balsemeo-14304.75
211833-Manuel Capiperibe-4238.03
653967-Joaquim Rufino-10265.91
412155-Celeste Duarte-21322.01
935835-Tabalipa Duarte-11672.84
275289-Estanislau Beserra-912.36
729795-Almor Caiado-3610.76
625858-Flamednia Leiria-19098.88
434660-Ximena Castilho-10253.60
823149-Emedlia Silvera-16965.17
548131-Regina Barcellos-5351.13
549202-Emedlia Silvera-4828.42
164416-Polibe Olivares-16664.96
128968-Ximena Castilho-4054.24
904390-Delfina Garcia de Gondim-8363.60
335630-Emedlia Silvera-19406.35
653269-Cassandra Varejo-8588.81
433925-Daniel Vieyra-17855.07
861768-Tibofarcio Camacho-10054.58
361718-Augusta Paio-18422.81
592253-Armindo Castalo-2703.46
297333-Urbano Rodrigues-17038.95
321420-Zulmira Becerra-5595.76
453248-Jonatas Felgueiras-812.21
786445-Adelina Quadros-20751.26
920026-Romo Paranage-6989.77
289913-Melinda Roserio-17866.31
735933-Aludsio Sosa-17970.65
585911-Aludsio Sosa-8874.43
796302-Andreia Moita-12578.05
556769-Esperada Cardoso-16623.97
914282-Daniel Vieyra-13842.10
629730-Delfina Garcia de Gondim-8470.48
840729-Joaquim Rufino-10775.01
992137-Branco Saraba-20602.88
503437-Micaela Chavez-6677.24
166272-Domingos Pas-12860.14
226788-Odilia Bello-21287.50
794492-Emiliana Foquio-8108.52
820396-Marilda Leio-5051.65
160353-Urbano Rodrigues-7607.22
846144-Augusta Paio-21126.36
426969-Jussara Varanda-7487.82
99950-Ubaldo Mainha-4831.39
994054-Regina Barcellos-17211.31
13671-Tibefarcio Colao-10041.51
527136-Basilio Pedroso-2728.34
187718-Danilo Olaio-3860.61
429342-Zungela Ipiranga-9818.55
113777-Oliveira Carmona-9181.92
119092-Carminda Morais-20373.52
521188-Zulmira Becerra-3147.15
166456-Liana Cardim-17491.42
343611-Henrique Bento-4577.58
538606-Delfina Perdigon-8167.52
537886-Gaudancio Fiees-6062.82
777830-Spnia ou Sonia Guerreiro-5253.26
515647-Neuza Francia-2130.30
36325-Tarrataca Soares-14664.59
925777-Leonidas Mafra-8780.89
463951-Elisa Themes-18532.08
240322-Honorina Lira-17592.46
169172-Tibofarcio Camacho-19804.12
880232-Elisa Themes-12162.72
730582-Quintiliano Sousa de Arronches-5443.27
745063-Fulvio Villegas-20248.65
394410-Adelino Barra-20306.43
393949-Rebeca Neto-18476.75
454118-Guida Juca-14572.28
885759-Zulmira Becerra-16701.53
509270-Tabalipa Duarte-8441.34
485003-Odete Vasques-18873.74
691806-Anfnia Seixas-4700.59
556650-Antonio Castelo-16359.40
179483-Camila Gabeira-15731.87
70713-Melinda Roserio-20029.32
727658-Feledcia Peassego-17818.42
226511-Basilio Pedroso-11827.53
754990-Branco Saraba-5917.23
258791-Guaraci Damasceno-9906.09
851689-Rodolfo Paz-11501.18
169130-Ermelinda Quintela-9601.20
248653-Micaela Chavez-7353.28
740362-Danilo Olaio-774.01
536925-Odilia Bello-15915.80
144244-Romo Paranage-17996.51
649260-Judite Damasceno-13078.95
797101-Delfina Garcia de Gondim-6416.38
136118-Carminda Morais-139.09
218987-Nuno Balsemeo-8911.68
971487-Flamednia Leiria-20040.20
857568-Carminda Morais-9107.05
633905-Angelica Aranha-15179.54
986022-Filomena Barrios-15112.10
277800-Manuel Capiperibe-21067.47
756173-Guaraci Damasceno-17014.08
198907-Filomena Barrios-1725.74
484062-Guida Juca-16983.71
38290-Ximena Castilho-16840.23
832061-Tabalipa Duarte-15867.58
234784-Branco Saraba-9292.46
755727-Regina Barcellos-5556.20
912599-Urbano Rodrigues-2057.71
397205-Oliveira Senchez-3497.57
282547-Dulce Froes-4760.34
264462-Sara Lameiras-103.07
897309-Ubaldo Mainha-9555.06
457804-Lurdes Cotrim-7985.06
139752-Ximena Castilho-7220.61
247201-Celeste Duarte-13178.93
522590-Emedlia Silvera-14291.28
333959-Camila Gabeira-584.00
850440-Letedcia Gago-3133.12
353388-Carminda Morais-7817.10
550463-Emiliana Foquio-15409.92
527646-Celeste Duarte-20352.57
429181-Basilio Pedroso-19166.70
387977-Daniel Vieyra-3456.44
750190-Delfina Garcia de Gondim-1113.01
135588-Feledcia Peassego-12275.48
795861-Tarrataca Soares-2905.87
702496-Micaela Chavez-14519.21
745766-Eurico Siqueira-13272.87
559576-Odilia Bello-14346.41
129947-Adelina Quadros-11377.08
734681-Feledcia Peassego-3957.52
646303-Flor Portella-9101.81
580071-Honorina Lira-7060.85
20049-Marilda Leio-14818.35
520877-Delfina Garcia de Gondim-6264.87
430970-Sara Lameiras-18742.83
985112-Heleedsa Marins-18595.02
422677-Jonatas Felgueiras-11377.64
688970-Almor Caiado-20623.24
664842-Micaela Chavez-6879.70
149194-Oliveira Carmona-17857.04
406488-Micaela Chavez-10708.67
334032-Emedlio Pimentel-16464.47
422336-Gaudancio Fiees-159.84
811151-Guida Juca-11965.05
264031-Liana Cardim-634.52
787214-Odete Vasques-1934.37
747363-Adelino Barra-16448.60
511271-Angilica Galante-4360.65
432326-Lina Andrade-16437.30
60992-Guaraci Damasceno-3663.95
441266-Ermelinda Quintela-7868.02
518683-Honorina Lira-5266.52
681220-Armindo Castalo-20790.75
195418-Andreia Moita-12604.02
196867-Neuza Francia-14456.66
997778-Filomena Barrios-7779.70
300649-Gaudancio Fiees-7092.33
400302-Cassandra Varejo-4192.61
823609-Tarrataca Soares-13426.93
216870-Joaquim Rufino-3222.71
347469-Almor Caiado-20487.12
345359-Esperada Cardoso-9897.47
790610-Manuel Capiperibe-21464.28
735975-Tabalipa Duarte-5581.40
185981-Gaudancio Fiees-11463.37
604301-Branco Saraba-14903.35
943343-Aludsio Sosa-13021.52
658490-Augusta Paio-17195.52
438710-Aludsio Sosa-5098.92
465199-Sofras Cuaresma-5086.25
403503-Sidfnio Frois-13539.73
627406-Carminda Morais-19693.18
19997-Oliveira Carmona-18536.25
3611-Guida Juca-10228.77
389399-Tabalipa Duarte-6735.80
957745-Liana Cardim-8691.84
12215-Edgar Carvalheiro-18031.27
300171-Angilica Galante-8253.02
849238-Tibofarcio Camacho-5192.57
91742-Zulmira Becerra-3812.39
121379-Danilo Olaio-7776.42
379416-Armindo Castalo-3477.86
384535-Antonio Viegas-17658.06
334310-Silvio Mata-6683.26
940510-Flor Portella-4632.32
367298-Judite Damasceno-4487.06
161510-Jonatas Felgueiras-14027.18
107442-Joaquim Rufino-18870.18
121749-Liana Cardim-1733.84
544392-Branco Saraba-18994.76
75890-Domingos Pas-9451.13
96416-Henrique Bento-15064.93
467681-Carminda Morais-2783.94
947591-Zungela Ipiranga-15547.28
337530-Dulce Froes-15986.68
307126-Lina Andrade-15565.52
460680-Jonatas Felgueiras-7712.30
257889-Clarindo Areosa-5448.54
357241-Delfina Perdigon-4494.92
230152-Domingos Pas-9950.36
341821-Antonio Viegas-5426.28
95752-Leonidas Mafra-4462.41
635702-Feledcia Peassego-5277.09
498022-Spnia ou Sonia Guerreiro-4931.73
202673-Filomena Barrios-13655.10
622704-Urbano Rodrigues-16708.18
264916-Melinda Roserio-1307.95
141524-Oliveira Carmona-6960.52
36348-Sofras Cuaresma-20444.10
314977-Feledcia Peassego-4001.56
101859-Spnia ou Sonia Guerreiro-4394.98
2021-Adelino Barra-7925.94
394879-Ximena Castilho-18072.29
697673-Tarrataca Soares-9542.44
728360-Leonidas Mafra-10494.46
943802-Angelica Aranha-4085.86
227651-Emiliana Foquio-16278.50
741415-Honorina Lira-18149.92
625242-Lurdes Cotrim-7095.45
484527-Cleusa Goes-6323.76
896368-Lurdes Cotrim-13354.78
453007-Ximena Castilho-16164.80
734509-Tabalipa Duarte-8343.91
241258-Adelino Barra-14150.89
920847-Eurico Siqueira-6183.33
627158-Sara Lameiras-427.94
150964-Taercio Mafra-12450.21
985650-Domingos Pas-7012.79
872753-Artur Grillo-11039.04
685866-Delfina Garcia de Gondim-7549.05
655143-Jorgina Bogalho-6493.18
122404-Zungela Ipiranga-13297.71
183401-Daniel Vieyra-10950.22
506542-Polibe Olivares-4727.79
73495-Spnia ou Sonia Guerreiro-21037.00
86935-Jorgina Bogalho-9108.44
685918-Celeste Duarte-7125.11
168065-Andreia Moita-16394.97
642195-Dulce Froes-928.86
661010-Tarrataca Soares-2645.72
572190-Augusta Paio-4072.27
961243-Adelina Quadros-9603.49
862894-Ubaldo Mainha-5690.49
639320-Adelina Quadros-10405.56
20896-Aludsio Sosa-11816.29
252336-Carminda Morais-20417.16
761089-Ximena Castilho-18819.18
807510-Quintino Alcantara-1826.03
649368-Antonio Castelo-9062.45
395551-Antonio Castelo-4674.22
46940-Judite Damasceno-16459.94
16255-Jorgina Bogalho-14824.72
789208-Judite Damasceno-15933.35
67603-Urbano Rodrigues-6654.91
641755-Silvio Mata-1140.28
432511-Armanda Amorim-5572.80
67030-Anind Zarco-20380.41
728980-Neeamia Arruda-15063.65
