127639-Emedlio Pimentel-8723.01
739855-Manuel Capiperibe-16197.78
316402-Trajano Fagundes-7580.98
728775-Emedlia Silvera-12329.94
999460-Edgar Carvalheiro-14246.78
571456-Gaudancio Fiees-21094.87
825316-Jorgina Bogalho-20440.28
71320-Leonidas Mafra-17812.22
634498-Armanda Amorim-358.47
361531-Liana Cardim-14783.52
478164-Zungela Ipiranga-1409.96
765300-Augusta Paio-13337.36
492714-Carminda Morais-5015.69
505207-Quintino Alcantara-9192.98
475043-Mercia Caeira-9592.97
178427-Telma Villalobos-4903.85
448473-Henrique Bento-13032.10
342278-Tibefarcio Colao-13882.82
50589-Lina Andrade-19039.16
56401-Gaudancio Fiees-6757.94
148861-Odete Vasques-9412.72
58312-Almor Caiado-8615.54
745527-Ermelinda Quintela-19370.46
47098-Guaraci Damasceno-11750.68
343077-Neuza Francia-4910.59
833596-Gaudancio Fiees-18322.38
327438-Tibefarcio Colao-11682.03
365141-Angelica Aranha-20625.45
141585-Nuno Balsemeo-961.12
764898-Micaela Chavez-12011.68
740544-Quintiliano Sousa de Arronches-6278.34
228868-Tabalipa Duarte-13958.92
453371-Moaci Mendoa-8301.54
246809-Almor Caiado-18362.01
854308-Sara Lameiras-13520.60
758976-Filomena Barrios-8024.10
48622-Oliveira Carmona-1492.54
581266-Ermelinda Quintela-14366.19
879172-Tarrataca Soares-32.77
125894-Ubaldo Mainha-1800.42
166612-Lurdes Cotrim-12977.83
479489-Tibefarcio Colao-13500.11
862529-Heleedsa Marins-16704.65
808447-Letedcia Gago-6132.28
822450-Taercio Mafra-12450.82
895933-Delfim Higuera-2303.58
723675-Honorina Lira-2069.23
270502-Mercia Caeira-3305.04
878691-Neeamia Arruda-19893.83
598833-Neeamia Arruda-6450.25
487328-Moaci Mendoa-12681.92
725741-Quintino Alcantara-5051.88
856033-Artur Grillo-13650.50
656435-Liana Cardim-14898.59
174044-Melinda Roserio-20546.81
751939-Gaudancio Fiees-14030.93
740066-Almerinda Palmeira-13673.33
498569-Cleusa Goes-9681.20
876237-Odete Vasques-1205.15
47358-Armindo Castalo-10681.14
744128-Camila Gabeira-7171.18
739794-Armindo Castalo-18428.44
263224-Tarrataca Soares-15462.16
251439-Armanda Amorim-6573.89
983950-Emiliana Foquio-10125.63
798715-Taercio Mafra-18163.15
487413-Rodolfo Paz-17235.71
582315-Nuno Balsemeo-8835.86
697391-Almerinda Palmeira-7329.79
195463-Cassandra Varejo-12750.26
235128-Micaela Chavez-5422.87
982998-Aludsio Sosa-19800.26
402211-Delfina Perdigon-4958.06
904352-Tabalipa Duarte-20550.57
265165-Tibefarcio Colao-8285.58
823451-Spnia ou Sonia Guerreiro-2088.73
475145-Adelino Barra-4263.60
492978-Emedlio Pimentel-16879.42
114748-Anind Zarco-291.56
768203-Esperada Cardoso-17343.52
535823-Adelino Barra-10061.03
937640-Letedcia Gago-12600.86
183045-Esperada Cardoso-8540.05
677126-Antonio Viegas-11529.09
43614-Elisa Themes-14991.74
489259-Clara Alcantara-17999.98
765998-Quintiliano Sousa de Arronches-13109.89
613899-Taercio Mafra-13994.82
564235-Jussara Varanda-8861.13
9595-Dulce Froes-20388.81
480986-Spnia ou Sonia Guerreiro-16309.34
238887-Telma Villalobos-3793.88
539444-Anind Zarco-1270.87
645883-Danilo Olaio-2727.64
842345-Manuel Capiperibe-14738.08
596430-Heleedsa Marins-4478.13
706853-Rodolfo Paz-11585.79
693730-Flor Portella-10347.10
139376-Jonatas Felgueiras-9597.90
741184-Clara Alcantara-16668.00
