62946-Basilio Pedroso-7581.73
548966-Armanda Amorim-1058.80
308537-Clara Alcantara-15539.82
385510-Armanda Amorim-15920.96
433684-Almerinda Palmeira-1183.80
992622-Celeste Duarte-19763.44
212216-Micaela Chavez-3649.61
956365-Adelino Barra-19790.40
173314-Oliveira Carmona-2144.98
680013-Neuza Francia-3510.96
572372-Anfnia Seixas-4951.59
879941-Delfim Higuera-20567.08
680305-Jonatas Felgueiras-16025.33
85127-Spnia ou Sonia Guerreiro-21139.18
313239-Joaquim Rufino-4898.68
855141-Joaquim Rufino-6718.61
394462-Feledcia Peassego-17020.73
145627-Armindo Castalo-8375.46
508281-Basilio Pedroso-9917.19
413055-Letedcia Gago-3139.15
736623-Flor Portella-20324.88
749984-Henrique Bento-12218.84
126511-Fulvio Villegas-15005.64
518019-Henrique Bento-41.66
5207-Eurico Siqueira-10874.79
872159-Honorina Lira-3648.51
599011-Dulce Froes-19312.45
802805-Delfina Perdigon-15379.07
46818-Tabalipa Duarte-18104.15
788534-Armindo Castalo-21268.28
142443-Marilda Leio-9280.81
138788-Andreia Moita-11198.31
875590-Adelino Barra-6604.74
145036-Quintiliano Sousa de Arronches-11039.92
365338-Flor Portella-18949.97
937478-Joaquim Rufino-10043.86
886782-Oliveira Senchez-4085.01
425465-Quintino Alcantara-4723.04
509894-Lurdes Cotrim-10273.51
829735-Adelina Quadros-1406.56
65000-Marilda Leio-3107.98
788063-Manuel Capiperibe-20329.37
427921-Odilia Bello-9213.29
632174-Almerinda Palmeira-7259.90
485951-Tibofarcio Camacho-14133.56
851547-Tibefarcio Colao-13258.10
67752-Aludsio Sosa-11352.13
529027-Celeste Duarte-3961.54
413705-Anind Zarco-20936.64
230067-Domingos Pas-7770.10
907519-Urbano Rodrigues-10550.75
149982-Adelino Barra-6653.80
740144-Ximena Castilho-8298.08
804517-Elisa Themes-9014.40
377471-Jonatas Felgueiras-8844.42
464215-Lurdes Cotrim-18662.94
936907-Guida Juca-20643.62
427263-Aludsio Sosa-12624.07
705384-Almor Caiado-9983.37
850792-Feledcia Peassego-9350.83
168375-Delfina Garcia de Gondim-10519.91
767871-Romo Paranage-1296.57
820772-Andreia Moita-14353.97
719022-Almerinda Palmeira-13347.18
607655-Jussara Varanda-9316.12
852011-Jonatas Felgueiras-21210.76
938624-Anind Zarco-16125.30
237924-Tabalipa Duarte-19619.57
691729-Quintino Alcantara-14941.79
326284-Emiliana Foquio-12365.46
971326-Manuel Capiperibe-13297.14
208206-Odilia Camello-20844.82
824988-Delfina Garcia de Gondim-12388.19
249593-Aludsio Sosa-18615.38
630547-Honorina Lira-3836.62
970155-Moaci Mendoa-3660.31
603611-Estanislau Beserra-9869.69
115019-Polibe Olivares-12342.07
549760-Guida Juca-15038.99
321538-Armindo Castalo-17422.25
693124-Andreia Moita-5787.13
55687-Neuza Francia-12159.21
75560-Jonatas Felgueiras-242.62
9240-Armindo Castalo-21285.12
177596-Domingos Pas-19876.59
958099-Liana Cardim-4861.45
331317-Armanda Amorim-16377.49
234157-Feledcia Peassego-10643.80
126585-Adelina Quadros-284.46
197633-Tibofarcio Camacho-16757.68
330799-Armanda Amorim-4989.77
694456-Spnia ou Sonia Guerreiro-18450.33
540125-Almerinda Palmeira-15486.25
721281-Manuel Capiperibe-10451.51
956946-Celeste Duarte-16693.28
854777-Emedlio Pimentel-578.03
783136-Armindo Castalo-4791.34
197000-Manuel Capiperibe-2508.84
334293-Odete Vasques-13350.11
370393-Camila Gabeira-9307.25
