461016-Eurico Siqueira-5690.47
706215-Estanislau Beserra-13497.26
94884-Delfina Garcia de Gondim-19532.95
248290-Regina Barcellos-8816.34
443261-Angilica Galante-16697.45
100736-Ximena Castilho-5845.23
202335-Estanislau Beserra-10589.56
840013-Oliveira Senchez-14492.02
736868-Marilda Leio-16546.41
694520-Sidfnio Frois-2265.65
739091-Mercia Caeira-10470.26
821032-Sidfnio Frois-5762.49
309671-Edgar Carvalheiro-12473.43
428899-Urbano Rodrigues-2861.08
896632-Oliveira Carmona-13745.51
964939-Almerinda Palmeira-4411.69
755188-Clarindo Areosa-6633.71
971927-Tarrataca Soares-8042.11
989155-Taercio Mafra-16219.48
571270-Fulvio Villegas-19566.42
668254-Micaela Chavez-4488.98
328273-Adelina Quadros-10927.19
230909-Odete Vasques-1755.45
428641-Elisa Themes-17599.74
776589-Jussara Varanda-463.87
869064-Camila Gabeira-18363.52
1218-Marilda Leio-6276.23
89041-Clara Alcantara-16005.95
411882-Almerinda Palmeira-2051.01
858976-Adelino Barra-5846.72
387474-Tibefarcio Colao-608.56
458391-Mercia Caeira-13501.85
261591-Artur Grillo-15074.16
924662-Armanda Amorim-3383.61
212247-Filomena Barrios-8721.37
51255-Marilda Leio-4835.23
58773-Odilia Bello-19045.24
437136-Lina Andrade-18991.29
542711-Aludsio Sosa-19165.41
112365-Branco Saraba-14639.16
840618-Ermelinda Quintela-7678.20
950211-Rodolfo Paz-8752.79
811230-Sara Lameiras-2150.57
700644-Quintino Alcantara-344.98
80056-Artur Grillo-6197.10
846098-Augusta Paio-11977.61
480061-Sofras Cuaresma-623.36
253485-Heleedsa Marins-242.90
621946-Urbano Rodrigues-18878.32
90950-Carminda Morais-8324.61
231767-Cassandra Varejo-9623.02
745356-Lina Andrade-5787.68
443638-Flamednia Leiria-7745.80
73873-Eurico Siqueira-17252.80
64703-Ermelinda Quintela-8958.77
192717-Ermelinda Quintela-4802.39
359684-Manuel Capiperibe-1672.35
50470-Polibe Olivares-5844.89
903171-Joaquim Rufino-11851.11
296967-Taercio Mafra-267.18
123538-Angelica Aranha-19889.50
770358-Delfina Perdigon-6902.12
212170-Emiliana Foquio-17756.55
710565-Edgar Carvalheiro-3102.46
190206-Tibofarcio Camacho-9273.10
412395-Guida Juca-2040.19
879333-Camila Gabeira-7713.79
198847-Oliveira Carmona-2389.46
808075-Delfina Garcia de Gondim-5058.49
249728-Edgar Carvalheiro-13411.46
668874-Jonatas Felgueiras-20612.70
906132-Emedlio Pimentel-12865.56
395361-Angelica Aranha-20397.68
980495-Heleedsa Marins-2409.95
362180-Guaraci Damasceno-2197.02
136823-Manuel Capiperibe-4481.14
634171-Manuel Capiperibe-21239.94
883341-Sidfnio Frois-10147.09
621468-Quintino Alcantara-14395.17
470496-Tibofarcio Camacho-9912.83
37729-Filomena Barrios-5024.68
587637-Aludsio Sosa-9353.74
832873-Ermelinda Quintela-7212.86
766131-Emedlia Silvera-6347.83
944932-Tibofarcio Camacho-2536.61
433979-Filomena Barrios-4737.98
942341-Rebeca Neto-17754.32
829704-Marilda Leio-308.32
179240-Oliveira Carmona-1194.54
377770-Moaci Mendoa-10789.24
722261-Dulce Froes-7884.78
368956-Delfina Perdigon-12370.66
571860-Tibofarcio Camacho-9674.15
59497-Heleedsa Marins-17551.81
542432-Estanislau Beserra-17631.26
727223-Joaquim Rufino-19185.60
542618-Tabalipa Duarte-2780.19
351597-Moaci Mendoa-19078.48
385712-Antonio Castelo-6045.44
936686-Andreia Moita-11689.22
