748978-Ximena Castilho-15136.49
620932-Oliveira Senchez-5115.82
32041-Dulce Froes-14697.91
365576-Cleusa Goes-5425.24
60409-Augusta Paio-18088.04
608712-Leonidas Mafra-1398.10
628133-Angilica Galante-10204.41
20906-Mercia Caeira-3302.84
737423-Branco Saraba-10223.12
694809-Elisa Themes-13618.29
172205-Odete Vasques-6350.95
254302-Tibefarcio Colao-6577.16
344929-Tabalipa Duarte-9947.48
853660-Filomena Barrios-8096.30
977936-Tarrataca Soares-16066.90
217652-Zulmira Becerra-838.15
455162-Anind Zarco-1104.43
22170-Leonidas Mafra-6394.64
159989-Telma Villalobos-15822.02
570606-Sara Lameiras-21088.96
125339-Angelica Aranha-4525.85
845262-Armindo Castalo-16608.39
147055-Anfnia Seixas-1597.01
756495-Sofras Cuaresma-21285.54
889837-Carminda Morais-15530.48
342979-Branco Saraba-11167.82
605829-Guida Juca-19292.38
309238-Ermelinda Quintela-13237.76
813248-Heleedsa Marins-884.52
629238-Carminda Morais-11980.23
790974-Zulmira Becerra-5106.65
47432-Delfim Higuera-16875.10
19546-Tarrataca Soares-9451.73
255707-Antonio Castelo-19009.30
121493-Nuno Balsemeo-8023.36
193664-Sidfnio Frois-16056.79
80933-Lurdes Cotrim-1558.01
411433-Anind Zarco-17681.11
206070-Urbano Rodrigues-3304.40
718619-Filomena Barrios-11600.69
643891-Delfim Higuera-13238.60
154089-Delfim Higuera-14569.08
19869-Rodolfo Paz-694.44
586158-Sara Lameiras-3036.99
222970-Oliveira Senchez-8218.21
424592-Trajano Fagundes-10830.15
408676-Trajano Fagundes-11710.95
146738-Sara Lameiras-11965.07
177298-Celeste Duarte-17987.13
660347-Henrique Bento-2649.48
166489-Joaquim Rufino-8515.92
853769-Emedlia Silvera-18637.46
51096-Basilio Pedroso-6672.82
938229-Andreia Moita-17168.68
271665-Esperada Cardoso-6986.08
941240-Sidfnio Frois-13130.32
806285-Artur Grillo-3819.57
472631-Danilo Olaio-19821.04
765866-Liana Cardim-9947.98
499240-Armanda Amorim-18034.58
301990-Anind Zarco-13111.41
481442-Taercio Mafra-285.11
85030-Guida Juca-17905.62
132298-Armindo Castalo-11000.17
362603-Guida Juca-20052.88
446494-Delfim Higuera-10137.46
544930-Sara Lameiras-18785.52
738844-Delfina Garcia de Gondim-4605.41
956022-Odilia Bello-6753.07
402534-Augusta Paio-7058.06
796998-Adelina Quadros-17121.08
783307-Jorgina Bogalho-7231.06
31901-Jussara Varanda-13431.91
562649-Silvio Mata-14943.23
994415-Emiliana Foquio-14802.02
517463-Clara Alcantara-21226.49
589091-Guaraci Damasceno-2097.10
134326-Jonatas Felgueiras-12074.49
783554-Rebeca Neto-20174.05
746779-Filomena Barrios-1433.24
167994-Guaraci Damasceno-1451.21
762746-Taercio Mafra-7269.04
352100-Cleusa Goes-16049.36
19855-Joaquim Rufino-12990.15
704241-Sara Lameiras-15260.09
709627-Lurdes Cotrim-8370.43
460901-Neuza Francia-5451.49
280700-Odilia Bello-10322.83
641656-Zungela Ipiranga-21330.67
309635-Liana Cardim-5473.30
300229-Camila Gabeira-2260.14
399076-Sidfnio Frois-3327.77
120323-Almor Caiado-8961.29
548999-Cleusa Goes-15591.49
301051-Angilica Galante-12743.69
771786-Leonidas Mafra-20470.79
891347-Adelina Quadros-5960.56
237368-Cassandra Varejo-9473.37
548692-Ubaldo Mainha-14139.79
264991-Guida Juca-5238.05
