174601-Almerinda Palmeira-3081.04
729117-Odete Vasques-11095.92
822770-Delfim Higuera-20370.15
639657-Clarindo Areosa-14054.66
700992-Oliveira Senchez-3664.34
960822-Ubaldo Mainha-424.02
998901-Ximena Castilho-7097.75
145551-Guida Juca-520.93
133861-Sofras Cuaresma-16625.39
152872-Flor Portella-3658.55
143978-Daniel Vieyra-2805.46
975032-Armindo Castalo-20192.75
251604-Esperada Cardoso-19216.14
120283-Emiliana Foquio-9127.70
284507-Urbano Rodrigues-17014.71
710782-Adelino Barra-2489.48
629929-Aludsio Sosa-13069.47
675427-Camila Gabeira-9326.09
502827-Liana Cardim-14637.43
405264-Odilia Bello-17128.96
667308-Esperada Cardoso-3875.56
549686-Odilia Camello-8825.31
24299-Domingos Pas-1582.99
30238-Fulvio Villegas-12134.19
18424-Almor Caiado-6522.20
440172-Sidfnio Frois-2184.47
263526-Camila Gabeira-8930.77
861530-Almor Caiado-1372.69
68800-Adelino Barra-14007.72
815359-Odete Vasques-326.94
416831-Cassandra Varejo-19283.61
564169-Adelino Barra-9534.27
19194-Esperada Cardoso-3649.68
88324-Antonio Viegas-525.14
443921-Telma Villalobos-14215.33
270625-Almor Caiado-5434.89
561961-Zulmira Becerra-17557.53
800479-Cassandra Varejo-14731.30
164434-Neeamia Arruda-18951.99
271335-Emiliana Foquio-3895.31
790406-Lina Andrade-16169.48
865626-Clarindo Areosa-15630.28
988379-Silvio Mata-995.64
410269-Estanislau Beserra-12956.52
251580-Neeamia Arruda-17690.96
829522-Odete Vasques-10738.83
338525-Honorina Lira-16064.45
441224-Lurdes Cotrim-3787.62
329396-Clarindo Areosa-4709.26
989518-Flor Portella-11991.98
826852-Guida Juca-21289.88
57764-Odilia Camello-15003.70
715588-Tibefarcio Colao-1958.75
857326-Spnia ou Sonia Guerreiro-5212.85
996866-Joaquim Rufino-15425.37
185335-Gaudancio Fiees-17643.66
379258-Adelino Barra-14052.21
325809-Emedlia Silvera-13581.79
919222-Almor Caiado-17605.08
711945-Leonidas Mafra-18654.98
552041-Cassandra Varejo-17058.41
856341-Anind Zarco-10624.15
189014-Delfim Higuera-8886.47
601958-Neuza Francia-15495.04
667145-Ermelinda Quintela-9500.17
344850-Regina Barcellos-5117.19
905696-Adelino Barra-7780.98
427998-Fulvio Villegas-13574.24
712233-Esperada Cardoso-15753.43
439189-Heleedsa Marins-11795.72
363847-Micaela Chavez-5596.40
792967-Fulvio Villegas-13324.96
108527-Branco Saraba-7662.02
782555-Augusta Paio-11078.04
258023-Regina Barcellos-15054.71
786513-Dulce Froes-15808.16
197545-Trajano Fagundes-2602.38
829646-Antonio Castelo-12976.66
156744-Aludsio Sosa-7768.94
508234-Feledcia Peassego-13163.34
357284-Cleusa Goes-19676.97
79801-Ubaldo Mainha-5650.07
217198-Sofras Cuaresma-7561.15
1415-Regina Barcellos-5894.14
806130-Odilia Camello-5861.88
628210-Basilio Pedroso-1414.91
685694-Jonatas Felgueiras-10196.89
841487-Trajano Fagundes-3310.35
937750-Neuza Francia-15811.92
377354-Regina Barcellos-882.16
904948-Tibefarcio Colao-20125.74
588924-Clarindo Areosa-4701.70
252919-Delfina Perdigon-8183.87
151356-Flamednia Leiria-17983.88
337137-Edgar Carvalheiro-6647.11
26462-Esperada Cardoso-5148.55
531479-Ermelinda Quintela-18605.41
274235-Emedlia Silvera-11848.99
199080-Delfina Perdigon-19928.37
18249-Leonidas Mafra-15647.30
