158549-Moaci Mendoa-10267.19
221213-Andreia Moita-12197.02
897385-Almerinda Palmeira-10560.92
436343-Almerinda Palmeira-5693.26
277314-Zungela Ipiranga-11685.74
701904-Judite Damasceno-8430.49
56446-Emiliana Foquio-4713.14
474260-Emedlio Pimentel-8358.61
701026-Branco Saraba-12256.86
406555-Moaci Mendoa-14285.52
806162-Gaudancio Fiees-21067.11
615128-Eurico Siqueira-17494.49
663685-Rebeca Neto-18233.46
64487-Elisa Themes-4802.99
602742-Rodolfo Paz-2080.92
327193-Odilia Bello-20427.94
581448-Trajano Fagundes-3283.67
977134-Eurico Siqueira-4588.41
95571-Clarindo Areosa-19385.42
639940-Rodolfo Paz-3554.65
622058-Tarrataca Soares-917.88
323004-Antonio Castelo-20364.03
726345-Neeamia Arruda-13285.83
254576-Clarindo Areosa-10701.64
592610-Telma Villalobos-16977.66
20743-Artur Grillo-18770.94
498316-Sidfnio Frois-18481.91
806261-Artur Grillo-6856.85
975453-Clarindo Areosa-2152.97
830776-Spnia ou Sonia Guerreiro-17669.37
754857-Micaela Chavez-2350.75
906247-Clarindo Areosa-9413.98
22510-Camila Gabeira-8106.41
1031-Adelina Quadros-8988.96
278154-Quintiliano Sousa de Arronches-17754.88
647545-Guaraci Damasceno-3140.25
327459-Branco Saraba-16525.23
374344-Celeste Duarte-19673.30
778810-Heleedsa Marins-20943.05
725533-Neeamia Arruda-11116.52
653772-Guaraci Damasceno-4479.24
853337-Domingos Pas-623.46
488412-Manuel Capiperibe-17043.69
706330-Carminda Morais-7548.86
87931-Ermelinda Quintela-19891.64
268660-Zungela Ipiranga-13203.28
543007-Delfina Perdigon-7911.72
525124-Cassandra Varejo-7300.63
708497-Melinda Roserio-15958.41
672346-Sidfnio Frois-10320.83
605667-Moaci Mendoa-15417.37
97815-Taercio Mafra-10691.07
504497-Elisa Themes-16505.95
552060-Angilica Galante-3198.18
11431-Emedlia Silvera-2944.22
475220-Anfnia Seixas-11246.91
447820-Gaudancio Fiees-3927.50
976601-Delfim Higuera-20942.75
835122-Nuno Balsemeo-4725.00
31538-Guaraci Damasceno-376.89
363923-Heleedsa Marins-4092.94
136189-Tabalipa Duarte-18223.92
770935-Tibofarcio Camacho-9234.13
257968-Daniel Vieyra-6704.82
663727-Filomena Barrios-19624.93
233663-Odete Vasques-1324.85
648024-Angilica Galante-19369.32
234270-Carminda Morais-4384.25
883097-Delfina Perdigon-18992.60
406019-Ermelinda Quintela-19712.92
495867-Melinda Roserio-17661.72
355468-Jussara Varanda-17318.25
321808-Guaraci Damasceno-19305.96
883299-Zungela Ipiranga-19193.70
778977-Emiliana Foquio-3055.50
96771-Tarrataca Soares-12257.84
621695-Branco Saraba-17054.32
896754-Gaudancio Fiees-3881.82
447074-Heleedsa Marins-1515.82
13855-Telma Villalobos-4439.88
269444-Angilica Galante-1500.00
819508-Melinda Roserio-8113.56
278215-Letedcia Gago-13496.77
150062-Odete Vasques-12680.77
19813-Armanda Amorim-8863.72
898899-Basilio Pedroso-4989.85
746189-Urbano Rodrigues-12306.07
558558-Gaudancio Fiees-13265.04
796256-Fulvio Villegas-7334.67
294405-Marilda Leio-20714.81
117247-Jorgina Bogalho-10832.67
112354-Leonidas Mafra-3256.03
964971-Cleusa Goes-16208.81
413328-Tarrataca Soares-15975.48
748099-Emedlia Silvera-9260.84
633011-Joaquim Rufino-15689.83
818079-Micaela Chavez-15112.45
434975-Sidfnio Frois-5423.20
750673-Quintiliano Sousa de Arronches-12481.16
648270-Quintiliano Sousa de Arronches-12329.27
