77820-Celeste Duarte-16914.16
578881-Trajano Fagundes-10158.17
760512-Almor Caiado-9272.48
740570-Ubaldo Mainha-7775.09
770962-Dulce Froes-17007.26
757131-Delfina Garcia de Gondim-17252.38
876824-Sidfnio Frois-13844.35
987739-Domingos Pas-7683.65
541781-Camila Gabeira-5800.09
41664-Emiliana Foquio-10129.59
31506-Judite Damasceno-1415.53
305027-Zulmira Becerra-66.48
553672-Trajano Fagundes-12154.09
404975-Augusta Paio-1226.66
802023-Jonatas Felgueiras-14734.37
338406-Quintino Alcantara-7217.10
295634-Almor Caiado-3301.03
590319-Elisa Themes-10990.91
447801-Urbano Rodrigues-5551.49
179072-Tibefarcio Colao-2017.07
751006-Anfnia Seixas-4137.39
772012-Liana Cardim-16370.44
610363-Celeste Duarte-2801.14
696756-Angelica Aranha-19855.19
808223-Aludsio Sosa-13588.37
646079-Emiliana Foquio-13681.75
238558-Eurico Siqueira-4009.88
782013-Ermelinda Quintela-19295.78
207199-Augusta Paio-12005.42
124695-Anfnia Seixas-14377.21
517387-Antonio Viegas-9139.88
463097-Telma Villalobos-13207.60
57056-Filomena Barrios-15263.71
576130-Clara Alcantara-3105.84
760888-Quintiliano Sousa de Arronches-5983.92
382292-Esperada Cardoso-19430.38
230178-Emiliana Foquio-17747.93
181370-Adelina Quadros-14780.92
223607-Neuza Francia-18212.99
931374-Lina Andrade-12369.40
346336-Leonidas Mafra-7379.73
499998-Celeste Duarte-4659.53
213740-Gaudancio Fiees-4275.26
524882-Delfina Garcia de Gondim-18381.02
387457-Edgar Carvalheiro-5253.80
603486-Neuza Francia-1102.78
995025-Artur Grillo-13145.08
374059-Oliveira Carmona-1732.06
847259-Sidfnio Frois-20804.30
378780-Filomena Barrios-11488.78
631340-Spnia ou Sonia Guerreiro-18752.24
388651-Rodolfo Paz-3782.40
906372-Emedlia Silvera-4424.54
311218-Neuza Francia-2004.95
816298-Tibefarcio Colao-16378.83
197131-Anfnia Seixas-18184.86
648851-Andreia Moita-21104.81
893666-Clarindo Areosa-7673.72
746292-Adelina Quadros-18662.19
413928-Aludsio Sosa-1651.14
21270-Flor Portella-13967.45
118409-Romo Paranage-326.50
168442-Lina Andrade-16885.57
744778-Odilia Camello-14483.84
939898-Taercio Mafra-17702.01
514690-Almerinda Palmeira-11049.14
367800-Emedlia Silvera-13955.63
245757-Delfim Higuera-1219.73
329932-Dulce Froes-9097.19
360284-Artur Grillo-12851.33
784541-Telma Villalobos-3376.71
432685-Branco Saraba-9527.89
837420-Neuza Francia-14489.58
179780-Esperada Cardoso-1062.19
533705-Leonidas Mafra-9101.59
286652-Lurdes Cotrim-911.90
525754-Marilda Leio-20545.57
278742-Sidfnio Frois-16723.20
403321-Guida Juca-12651.66
746752-Tarrataca Soares-7660.42
720519-Andreia Moita-13238.27
439609-Quintino Alcantara-5187.76
325379-Fulvio Villegas-8766.13
767847-Tibofarcio Camacho-6923.10
110937-Emiliana Foquio-1663.60
654595-Cassandra Varejo-9366.46
145008-Leonidas Mafra-5266.88
198324-Andreia Moita-10469.67
708208-Emedlio Pimentel-11173.71
970008-Joaquim Rufino-4566.34
364950-Lina Andrade-13773.54
430655-Judite Damasceno-9813.10
285533-Neuza Francia-14486.36
130730-Augusta Paio-1729.20
678321-Odete Vasques-7500.31
384556-Delfim Higuera-6552.02
796828-Tarrataca Soares-9933.47
282939-Gaudancio Fiees-10125.45
88644-Odilia Bello-8347.69
576581-Almerinda Palmeira-13697.40
