404016-Cleusa Goes-9757.05
691629-Antonio Viegas-9759.95
569319-Andreia Moita-9171.21
976427-Andreia Moita-15736.01
959507-Camila Gabeira-6352.71
537731-Neeamia Arruda-13472.47
450303-Regina Barcellos-10517.16
563403-Estanislau Beserra-20759.41
359234-Lina Andrade-14713.71
541939-Angelica Aranha-3932.56
818524-Quintino Alcantara-10596.60
418900-Sara Lameiras-4218.68
726010-Armanda Amorim-10334.38
359367-Domingos Pas-11254.14
815873-Tibefarcio Colao-6788.90
770443-Adelina Quadros-1369.44
132112-Anfnia Seixas-10603.94
550044-Romo Paranage-17239.58
767283-Delfina Perdigon-7548.33
176244-Letedcia Gago-1328.91
646450-Adelino Barra-19617.10
338280-Rebeca Neto-1286.45
25064-Cleusa Goes-19243.71
832676-Guida Juca-6742.47
273958-Regina Barcellos-18960.63
469650-Ubaldo Mainha-723.50
428951-Moaci Mendoa-7354.82
620512-Spnia ou Sonia Guerreiro-9090.32
753095-Guaraci Damasceno-21007.99
289776-Guaraci Damasceno-17184.92
566333-Clara Alcantara-15916.54
19486-Zulmira Becerra-5485.09
340865-Emedlia Silvera-17125.34
616141-Eurico Siqueira-17058.83
305390-Nuno Balsemeo-21021.57
884470-Flor Portella-13891.43
923818-Domingos Pas-9140.88
357384-Armanda Amorim-17287.09
264923-Quintino Alcantara-16139.79
5671-Tabalipa Duarte-20412.68
637918-Jorgina Bogalho-12563.51
496540-Zulmira Becerra-3188.87
438-Liana Cardim-17982.28
391974-Guida Juca-2853.60
546866-Urbano Rodrigues-12006.65
764637-Guaraci Damasceno-9280.66
848433-Guida Juca-17519.90
897663-Artur Grillo-4378.64
495075-Delfim Higuera-8571.29
407954-Basilio Pedroso-16171.34
328894-Esperada Cardoso-7032.89
420699-Zungela Ipiranga-773.02
21649-Quintiliano Sousa de Arronches-20153.02
156808-Urbano Rodrigues-19992.10
207909-Leonidas Mafra-7032.74
416205-Telma Villalobos-235.55
284052-Tibefarcio Colao-324.03
756753-Quintino Alcantara-14653.01
938467-Estanislau Beserra-9363.12
614995-Cassandra Varejo-5462.36
76111-Clara Alcantara-20135.65
404502-Micaela Chavez-4875.02
619653-Zungela Ipiranga-8115.24
62430-Leonidas Mafra-4031.97
381678-Sidfnio Frois-9684.05
366436-Zungela Ipiranga-3143.38
933878-Guaraci Damasceno-19776.22
491470-Antonio Viegas-4298.95
429300-Heleedsa Marins-16948.33
495940-Trajano Fagundes-9439.65
213412-Sidfnio Frois-2185.57
219634-Delfim Higuera-7749.62
527500-Mercia Caeira-7845.81
170151-Mercia Caeira-20456.44
23209-Delfina Perdigon-5485.42
149894-Urbano Rodrigues-17889.08
347545-Mercia Caeira-2523.58
431893-Tibefarcio Colao-19858.50
333303-Emedlio Pimentel-9847.96
63204-Oliveira Senchez-2538.08
29550-Quintiliano Sousa de Arronches-14100.21
561234-Romo Paranage-8617.57
111661-Tibofarcio Camacho-8338.01
702480-Dulce Froes-11939.71
974148-Heleedsa Marins-17939.94
167277-Jussara Varanda-11896.61
214425-Eurico Siqueira-15520.08
883292-Guida Juca-7659.56
446984-Jonatas Felgueiras-2968.06
360320-Anind Zarco-10808.69
754647-Cassandra Varejo-15168.99
189725-Nuno Balsemeo-14709.76
102759-Celeste Duarte-14306.04
113402-Oliveira Carmona-598.23
767733-Sofras Cuaresma-20567.97
963782-Taercio Mafra-19474.81
100690-Heleedsa Marins-462.12
79630-Urbano Rodrigues-4780.95
941130-Zungela Ipiranga-15255.42
598138-Liana Cardim-5884.19
